frame,id,lobeDist,intensity[photon],offset[photon],UncertaintyX,UncertaintyY,UncertaintyZ,x[nm],y[nm],z[nm],Probe
1,1,6.30873801654208,1472.59688156075,18.8969944542544,25.542008335084,26.6512052790587,39.3971520298273,13590.6907412085,19881.290621497,-769.58499138997,0
1,2,6.56505327965196,1053.12786828424,18.9608596472811,32.9177139542376,34.6247665723654,50.8505852453522,14816.6423673411,12422.2669807762,-649.943439505916,0
1,3,6.27294167451855,1483.65987811015,20.3577612758713,25.8604477884877,27.0257757277615,39.9000107352192,18778.7557256631,23593.283239458,-472.553802194521,0
1,4,7.20236188799591,1876.29499762982,16.2403534884597,20.7546966621567,21.4660735406464,31.9606305546441,8629.66412679781,26893.0564420922,-999.018644528799,0
1,5,5.73610283748715,1011.28679788574,18.2387398253788,33.6073688172674,35.3516448751311,51.916354385049,11091.7178075579,19110.9759868652,-580.251412771064,0
2,6,6.34111492926184,1325.52914506914,18.9081332632874,27.6220891244797,28.8932312052424,42.6253467852266,13653.7428819623,19838.1167026749,-779.795095042143,0
2,7,6.03336113516948,1427.89926763307,18.9974114700707,26.1639799223745,27.323207744158,40.3628660386711,14818.1523972879,12408.2721116951,-511.856590782277,0
2,8,6.83781379361981,1671.58535362982,16.2403534884597,22.5207011992537,23.3510008423068,34.6962257093012,8672.09849187132,26920.4001797793,-919.390640818056,0
2,9,6.24080254505138,1777.50001487735,20.3134668522441,22.6310591300845,23.5508945292807,34.8898033989195,18762.6249834358,23674.8625140702,-439.349587247654,0
2,10,6.32608455851926,996.175079342169,18.1819349143279,33.9712797402268,35.7447309694973,52.4813760364645,10971.5127082529,19145.082393112,-586.995246642269,0
3,11,6.72513250903317,1425.87973556075,18.8969944542544,26.1580086854109,27.31448976206,40.3529687388266,13625.6281210137,19871.5867653485,-770.785515972422,0
3,12,6.6598437218387,1949.82835428424,18.9608596472811,20.8560318805827,21.625390167682,32.1316936081787,14774.4262608962,12422.0880712547,-552.822254517989,0
3,13,5.96381644502579,1876.51389271764,20.3511550490575,21.7687225955087,22.6266469818292,33.5529522501083,18779.0874231504,23646.5858216482,-485.956649467313,0
4,14,6.03517110911501,1958.68280628424,18.9608596472811,20.7888733054651,21.5536078290462,32.0276349218125,14793.5018282715,12427.0508889408,-585.811513293004,0
4,15,6.52665891587644,1429.02945356075,18.8969944542544,26.1152947917969,27.268480526714,40.2866870822207,13639.8956573253,19899.7213605226,-696.543820238171,0
4,16,5.69928976151529,1322.44986271764,20.3511550490575,28.1870929596078,29.5373853129686,43.511939935298,18783.5036586371,23638.8789397914,-517.921787906277,0
4,17,6.70576110478594,1227.89048188574,18.2387398253788,28.9909303957275,30.3541520432188,44.7457332384044,11023.5196708799,19145.227055897,-615.275162714464,0
5,18,6.0352856211472,1551.86845556075,18.8969944542544,24.5761710938964,25.6122993301089,37.8988102082016,13632.3270550846,19854.0513218517,-705.462459610286,0
5,19,6.16859187468315,1557.89671963307,18.9974114700707,24.5367014691752,25.5720047345657,37.8381757837867,14786.2737974191,12440.3251602989,-621.044992694539,0
5,20,6.37020194414807,1598.79079862316,18.2837109398575,23.8661030527075,24.8365252356371,36.7939504768685,11244.5915622743,19252.6851157958,-648.356317795084,0
5,21,5.69070043905846,2200.44326687734,20.3134668522441,19.4194609289899,20.1129548002021,29.9121506631891,18680.3009336765,23723.6037685488,-342.817190716607,0
5,22,7.95843140213493,1184.50466867313,16.1241300190795,28.8863413583906,30.1823792552902,44.5670940667149,7688.54548045517,24773.4167652323,-1342.0020649358,0
5,23,6.66969058358996,1011.78106195783,16.5154635296204,32.7193265059683,34.3350688872614,50.5216558173503,10994.3879199553,29955.9562505498,-929.035136872031,0
6,24,6.45500965878587,1531.73669156075,18.8969944542544,24.8126247649936,25.866517652674,38.265595595779,13618.9294201589,19857.1207575793,-718.753805560864,0
6,25,5.75020256541176,1885.45449179017,20.2987955717892,21.6818067965826,22.5325860898957,33.4179603237652,18804.6209281243,23918.4370547678,-445.951415905438,0
6,26,6.27151703743306,2241.49664628424,18.9608596472811,18.9014318688321,19.5397313205008,29.104113894515,14722.8754218932,12478.0043581352,-696.684402777755,0
6,27,6.24426757266185,2087.37153062316,18.2837109398575,19.7248274137996,20.4060999596191,30.3761422560007,11253.222042306,19292.2049165641,-654.818677605937,0
