"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,3501.7280299634763,14900.082130515088,252.91120460741146,1287.0858135032206,28.520606561325486,8.685876665157211,3186.180791718169,16.919472094708045
1.0,4449.345914689799,17576.360772355663,174.32225234908526,714.2627803277153,35.900172286826425,9.413796328258236,3659.6374103898797,15.732331180517349
1.0,6902.858049830626,12453.291178469628,439.1098855850807,2783.462052797846,22.042255126203226,12.908642199829782,5574.646459641729,30.565211343291672
1.0,13840.884150798951,15111.595841982326,202.57594133975832,552.3520618708937,35.50590809501542,9.348664782548237,3466.584067579174,25.139366789177075
1.0,19931.562024211322,24015.481505436263,106.53588021396216,273.17721458366304,31.98176460357654,9.151560082991315,4165.719807707084,15.314434367546474
1.0,21201.565127195605,21393.670140383394,143.6610809890217,685.2345521215856,37.58729946885602,11.851979344868985,6443.396889706564,13.783740609411204
2.0,3510.122615665318,14928.72307206134,229.06631200918034,1092.140272720472,36.63507533387507,9.735778725057084,3115.157134934572,17.76305140435998
2.0,4438.516608487762,17598.993653531146,131.37850075227502,626.9954561281319,37.546378606250784,7.528278987625526,2383.135634498716,10.055599293119839
2.0,6885.706818813518,12446.681105689946,229.59664628183123,899.449317062156,40.12558996576624,10.848533863674348,3449.4828807939725,22.835009603618648
2.0,13857.606295888476,15150.08361136339,176.78047134357993,445.1003432868922,36.9726845229861,11.832918197674164,5696.858557507266,28.833259259885562
2.0,21219.724091798824,21347.146224513952,141.1232878225648,518.8213437814328,41.876370286679204,9.726979288370476,3878.501145275947,14.813271394115725
3.0,3495.989889894061,14883.805371049379,297.61570028711765,1657.2795599771403,31.86186239713505,10.863927917026286,3440.8718945251594,21.055227304999196
3.0,18571.88224116564,12885.34999015636,200.27537913559925,1568.1241380861063,35.676531279200454,15.518044879365274,6410.638929635375,14.461268591682352
3.0,21208.682373601172,21334.9763735522,175.95607545240878,815.3589198678441,35.06275311977207,9.904773689244694,4457.192650195332,14.803697317732622
