"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,744.372583901512,529.1869413896935,200.3230963576663,2012.154543601686,328.76653502985096,40.90845801520971,8224.031450264127,26.50759187385075
1.0,676.5786273783507,6250.400117145201,119.24034703745718,1273.7251591653185,313.3521329399331,25.29645592330982,4007.4768746704926,10.161153571785302
1.0,907.4499855960321,11653.664191323303,108.9385841547818,1082.3660539500208,298.9917811749565,20.523031031520937,2771.052902821798,8.614798661448734
1.0,1049.6555767575983,14214.276760373335,114.90490745425184,2282.5009694463274,332.10854384616187,30.114383692649216,5212.453603241828,6.53135365824314
1.0,1115.8008977980696,2115.4946970446217,232.01886281387578,3800.7768158290196,306.1169121894357,32.85031015071518,5647.312814819298,15.62359625623077
1.0,1131.776532093373,9305.655619919986,134.1815881011164,1487.4088512605147,298.73022036388176,23.412669399259407,3554.8292969840877,10.26999733223635
1.0,1385.334805943452,7586.284006212604,170.27597991337183,2130.1062326850015,306.5477292372842,39.731940211862515,8596.639517024802,17.859815954742956
1.0,1318.324961110214,12985.319417744402,120.27476765711019,1161.6193524394487,305.14061328870025,26.89412479700234,4425.537283561263,11.757323469978525
1.0,1538.6430868586356,16789.893187200894,163.3637148048527,1581.9790091334426,311.5862433978366,24.608460285312603,3593.635436863718,14.366703469585813
1.0,1877.9685824697985,5075.9120158973465,189.62699235227518,2262.6702726170624,328.5131885863867,57.94325817986889,14476.281081603312,29.59189216738933
1.0,1969.147463358733,20058.537979288045,193.58308407120379,2081.8298592942006,291.9826178963537,32.16830016928889,5840.436519980294,19.2444391974974
1.0,2198.232803941147,2399.7924402555905,108.1172092443297,1341.305747767096,316.8011024741183,23.721900455871136,3465.410166526488,7.841469678090011
1.0,2253.351291942421,14089.158074037081,125.78570972492473,1476.8974820727274,318.8646808118475,26.862376628994557,4189.918535491398,10.255861449726977
1.0,2823.8667727329334,20579.425628452263,175.65535968627836,1475.3672148881062,301.53760374136704,20.523616673724803,2600.483171405538,15.04663154658311
1.0,2955.964659600268,3548.4150599284994,132.83537638830214,1378.8568927980623,320.6972509399033,32.45802738768241,6141.674114194915,14.093921624274829
1.0,2897.4909766540763,15632.037149950547,135.14151920895185,4556.7732998950205,329.83517853309775,31.033548094531607,4810.830371566357,4.8844578230219735
1.0,3210.4971391244326,6334.869675752128,130.60142589290152,2133.541361107004,301.18634589139606,24.2284641602116,3670.3318369430376,7.3671357131939805
1.0,3473.8691715395457,14232.687060529634,143.76350099659936,2838.854118012412,342.2377058327569,72.87311124667828,23276.81570285695,17.179326290519967
1.0,4197.608349858361,15975.583528591049,109.03300520301295,1227.937289341539,355.608030850396,64.27027392364356,18121.680490320738,20.148855736017726
1.0,4499.44665989248,6868.586677275851,100.05630831900031,1391.206539958922,309.79591714535553,33.414755227275315,6701.835174109098,8.566595070170987
1.0,4548.927560467664,19816.116398371545,167.91461739010813,2188.4237078373353,314.48459117781755,37.193580543328785,7599.013259623219,15.969125261170948
1.0,4845.079630681205,8702.483099188685,113.68609453192603,1622.2126990898087,325.46175992658374,57.76252524274396,16213.653326001306,15.092429803569761
1.0,4796.209035160698,17217.390651746766,139.5004102641174,1383.1145236924422,387.73151822910285,71.21462518619504,23246.66639811218,32.05858686451581
