"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,3238.8469435341913,1470.0194738417056,157.09536629694944,1599.1560607726713,158.30305758877998,21.02833806601425,4758.700314593424,11.699475107899733
1.0,29919.44974913181,29130.646122600094,148.95882044045393,615.8563670544,125.8705668477556,16.484183643635642,4023.296163106811,20.64313979092035
1.0,37625.25567658057,18836.794169072327,119.79974514535229,979.3848604563498,121.34236629577516,11.566178055996698,1958.9455362939264,7.747140747369791
2.0,3243.257657581051,1454.5367472719631,158.08185362762595,1618.7848482078275,153.97162787081686,18.592233338561822,3872.0011372349995,10.680426583575201
2.0,11502.718008405647,30357.652636243332,163.58745487073296,935.0135033023096,141.11757386041464,16.70338663610855,3619.744076033468,16.932228136677804
2.0,24390.216049002778,29248.01411134174,239.92856571704667,2318.6570067484367,126.84309016438797,20.53873185141499,4458.441319283231,17.579968907420703
2.0,24494.892746388643,31947.266185576915,167.83642042164487,907.3016760927037,128.86169424729886,19.439023648116713,5114.376144694969,20.65241652320898
2.0,26218.971899842247,30219.263534681122,241.2523276391837,1140.262694731113,133.18714868682773,19.838891104957575,5041.318185140583,33.51659566432092
2.0,37623.55613285157,18844.875427109353,115.89520932408401,1021.0536084205075,118.81741186265721,15.657733235709387,3614.129095324128,8.399349738174715
3.0,3254.1746375492694,1446.2963032598334,162.4901318057984,1486.2300282467684,154.93203206114921,16.21394422315888,2948.53320094305,10.928388517627408
3.0,11631.977396696617,26456.252647075216,149.83934647121154,659.6952089867465,137.40344030692532,16.66195100750588,3862.8101082190597,19.772198254215265
3.0,12304.356361166343,30264.711741353065,110.51501004087592,676.6339559001958,143.07111627555827,20.030509794900965,4916.775940969502,13.006681260044148
3.0,25274.798299533883,30938.610630718285,206.8744963194619,1525.645589896819,143.39410087749872,28.28136990909865,8089.623765593058,26.13782006598717
3.0,25248.141837550993,31389.876411467107,211.58979770632195,1215.8250542843386,141.83421579659765,28.750062965437998,8215.58246716784,34.490148724684055
3.0,26922.92723255564,38489.735789311024,107.06995296505626,1260.7912091347089,123.51471188460312,16.346860261419113,3847.206525957708,6.466813907286594
3.0,37601.534359811325,18829.81402519406,126.41905894995276,1096.4626500012998,120.92528103423159,16.460734749899057,4371.286132981586,9.396843445270845
4.0,3264.260354334671,1454.552122384433,164.8288408845903,1676.9993980187135,151.3448640236799,19.2266033393,4033.2620774277534,11.406624701468367
4.0,7667.075732751412,22593.94699798129,126.84943096530995,768.4270797794591,155.6634363876087,14.934292489240883,2684.503211602053,11.909795345584023
4.0,9078.849159271798,21527.75505597213,293.5315448075379,2425.97798145796,140.94256106057114,21.911524914102227,4466.211926824381,25.960648629152978
4.0,9134.110775959683,22194.868454247135,152.69735597891338,1804.828718343147,190.33555014198325,23.657577929289882,5170.716287120122,10.948408533538993
4.0,10022.372946066724,21698.500662766284,137.0730634952145,908.2754005426541,163.65528088044798,19.122844918347486,4394.227120830219,14.116012434244656
4.0,21022.7485836864,28666.600364151676,226.26636710164726,1435.840470187319,139.11453873401194,16.88997397242478,3034.468433938577,20.816680665418417
4.0,37628.06352103177,18828.351142129603,117.29386846770831,979.9691030266077,124.46379022701231,12.951277153275546,2378.5184581789335,7.943171811456913
5.0,3249.434154315845,1475.6427490280619,160.700114649493,1652.5056324226864,155.5053821145681,18.700062216300356,4056.0019300462773,10.836532560678403
5.0,37622.03003871343,18839.727278437374,114.2228132682538,1039.748058256356,124.28509576852066,15.545896299322173,3608.6934798936863,8.059282805207973
6.0,3272.5406840385604,1465.6608964549266,155.51399736725824,1602.4614076438602,153.3562087895313,21.647481449182045,5040.948164182976,11.730758038187787
6.0,23090.17703781693,21737.63486385195,206.83932906256277,906.3659024174516,147.74491033766432,19.37552367073794,4197.791031927418,30.46733978688377
6.0,37615.006908205476,18824.505338916668,142.10457510741136,1168.9665277009844,118.55619674237556,16.08400942359668,3801.2887476597816,10.634805046690452
7.0,3266.2687842928613,1486.4124259034384,192.8644437840915,1872.6653631595616,147.07189818559834,15.97755679492721,3171.562143892539,11.873446756002533
7.0,11220.902492634188,16743.318370184847,158.81812862145546,780.3032246250536,174.7229298304776,31.960341028262015,10016.181253929028,33.59188092001936
7.0,11792.467600329075,16356.67284448885,301.5255171692674,3293.486444035504,145.89918328660494,28.2209636737867,7285.065421830604,25.675016897806387
7.0,37613.59334759934,18822.08928623609,141.25383408044698,1209.5679541878567,119.74415809647297,17.300432867044634,4226.8865670562855,10.756328087322569
8.0,3253.6165256447143,1458.8057590083718,159.1081343416045,1446.7830009818504,160.15206201222824,17.939817900580657,3614.620722017235,11.593558961896527
8.0,8937.352855512636,14115.754168965455,199.47162205063293,2016.3646250840636,143.71145411140915,21.984702540498677,5373.6550643917835,15.086767390458384
8.0,11992.57737368633,21502.983492709776,129.9727653704912,3393.784409885528,170.08097960980365,25.339977726499374,5667.721223330066,5.137320664612066
8.0,37617.457073603524,18850.056057502356,143.87332771072838,1252.0846298717715,116.58275865208107,12.511485301539144,2494.2492259517176,8.790838317211687
9.0,3289.4260154144135,1494.1986907423063,171.09943228740664,1562.946115056192,159.39340544073127,16.98152013776613,3359.9683042083516,11.806257858457553
9.0,35431.16957683814,39552.61254640179,151.60218250058094,745.9385826405248,107.11516455974063,12.871699168137004,2598.991282292893,14.859651485912522
9.0,37614.016604897304,18842.876218831283,119.15125942674905,1092.958454022879,122.83514644156668,15.61974872860582,3722.000507577532,8.296439425915553
10.0,3340.104616850866,1489.8643442927491,316.0182439240629,1889.6894114166198,124.93895022563284,18.04247191412592,4113.33964890364,31.791210638647804
10.0,5028.4557532027675,36465.515582391534,164.57316039610188,1578.100712783975,130.97598144461048,23.263045806669176,5266.322913198207,13.933039568583647
10.0,37614.10917369904,18834.7138169998,125.85810609225767,1062.868633093567,119.55741775281726,14.94352689090733,3282.719255858864,9.005374134752946
11.0,5221.426755378307,39444.45209176199,187.36494352551912,793.417402956398,116.1975310731333,16.17629836522806,4047.4246485366034,24.503554439150683
11.0,37616.952232842305,18831.445260952278,111.87361155983142,976.2828254019712,127.5120676227658,17.179252585623185,3972.188908314972,8.718710465834867
12.0,37607.843163723,18834.026631047233,141.64853983465878,1205.6884971325444,118.69906828135886,17.587612781090527,4258.063022325997,10.963140950720865
13.0,37613.82860063233,18851.502154940168,127.22578338988777,1126.1746485618492,120.52103648672728,17.92790445219112,4737.740189107478,9.82975512816138
14.0,37626.32068150619,18849.608182579646,111.67286191622895,1022.7105913116986,125.02017330143077,14.152692259351232,2959.2957713186324,7.487038424833329
15.0,26276.128462472243,30263.096222179433,273.80347022169957,1382.6815365419254,132.8584770728138,17.832585978774,3781.3376172002513,32.238586782808206
15.0,27373.17112858696,30649.811714585107,173.4352734152346,1331.6069748186344,132.69665106436955,20.202729000107308,4581.674134946412,15.931245997459335
15.0,37626.37056445081,18830.63254346543,136.61300545585473,1014.6204755417107,121.56301429638104,16.990447928904807,4726.7237228342465,11.66036360522227
16.0,17518.900092882333,1483.0085423481532,138.24900806748707,922.8541952844239,162.21774059415725,17.35964965595807,3244.4942695900163,13.122719454985162
