"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
1.0,12182.72880942713,22902.67369466027,186.9833964101374,3196.248927750741,163.44582168645206,22.33460052920075,4238.838287094527,9.048454603363153
1.0,12799.463360021113,23769.913125972802,250.87863753915826,2973.2813350592887,172.31518455090497,45.75736144267346,15651.53452507392,31.237213605701218
1.0,12781.25474275741,23958.174399162614,316.36059956466886,5434.712739992299,132.8822887468907,43.78399532432852,14501.325296107363,26.144726635926826
1.0,27121.366623870603,2082.1873050557083,271.76247491251104,2806.0932796382804,156.59848228486734,32.78580115456015,9555.409259640604,28.1713857872998
1.0,27908.785446015587,603.7458618069841,183.79834915447208,2245.8911944994425,168.89860389500714,32.695235306718004,8491.52454777852,16.47602870106388
2.0,12068.344358951557,23123.740821484615,191.7951411516283,2033.4458331499652,155.74664067788942,19.946824962693487,3794.49469315141,12.909659930214211
2.0,16478.016213285307,26706.184604392987,222.65614821957607,1964.3108732630635,146.7487741131593,21.564250761521254,4689.743734130992,18.601433493594364
2.0,26040.18596010551,5531.401633741394,148.92451342820164,588.8439473221675,169.85245433356354,23.1249706102636,5503.656466352235,28.863161466746423
2.0,26675.870156866124,6767.754967341065,398.7802050212312,5475.076020376586,136.9345435879672,32.63344823540295,8626.53646839846,30.848468661086358
2.0,26696.710619478392,6769.853303654698,286.6294912289779,2326.545709873895,170.82346108552542,34.08422794601328,9364.283825717162,38.880557722029444
2.0,27082.71601924622,5731.182038989456,140.70629405140966,1121.3171169363327,197.13998511296728,23.875172197541456,5361.660498462728,14.623623135770577
2.0,28991.48127893434,21944.12680087228,100.6295379443147,481.9519816171606,132.73895791945657,18.761093170375936,5394.176553347571,14.172778183531126
3.0,15522.095948021883,27185.55969370137,181.18556758945422,1743.0660491631943,177.02673544790449,34.446685994845396,10397.373823704998,21.384359279270498
3.0,15698.333890827073,25700.092361621657,140.78634408770614,1131.9873478685274,145.9016006502381,17.2685064040563,3678.6290846826455,11.303546362937015
3.0,16137.692469029453,27022.56630681005,170.68420376831955,1298.876824582502,196.37877703870694,46.853114110142506,17096.2153967775,33.8285921154568
3.0,16171.231995128226,26864.384978306512,266.8709937978838,2851.9343382701013,157.37739344079233,37.27856033414966,12419.76502330496,30.2035322183458
