Q (L/min)              Time (s)                   N_bound (mol/m^2)
0                        1510                     5.402541236218903E-13
0                        1520                     5.403335831875087E-13
0                        1530                     5.404016684228515E-13
0                        1540                     5.404752757438349E-13
0                        1550                     5.405617254689995E-13
0                        1560                     5.406387561376995E-13
0                        1570                     5.407032713548195E-13
0                        1580                     5.407815978581457E-13
0                        1590                     5.408663443778662E-13
0                        1600                     5.409408434679768E-13
0                        1610                     5.410036722412419E-13
0                        1620                     5.410859360775073E-13
0                        1630                     5.411655247128037E-13
0                        1640                     5.41234335421987E-13
0                        1650                     5.412976499926741E-13
0                        1660                     5.413756932163898E-13
0                        1670                     5.414551863086898E-13
0                        1680                     5.415228023188759E-13
0                        1690                     5.41582461829231E-13
0                        1700                     5.416666115641438E-13
0                        1710                     5.417441103744557E-13
0                        1720                     5.418075750639716E-13
0                        1730                     5.418731685347231E-13
0                        1740                     5.419543221699276E-13
0                        1750                     5.420265600982027E-13
0                        1760                     5.42086684531199E-13
0                        1770                     5.421588898848642E-13
0                        1780                     5.422368467760614E-13
0                        1790                     5.423042911099319E-13
0                        1800                     5.423626325719844E-13
0                        1810                     5.424398248052712E-13
0                        1820                     5.42514368587565E-13
0                        1830                     5.425776900251327E-13
0                        1840                     5.42639021889849E-13
0                        1850                     5.427163999709513E-13
0                        1860                     5.427872626517257E-13
0                        1870                     5.428473110761133E-13
0                        1880                     5.429094939682886E-13
0                        1890                     5.42986845504987E-13
0                        1900                     5.430561672212309E-13
0                        1910                     5.431132168550551E-13
0                        1920                     5.431803401714545E-13
0                        1930                     5.432565455761158E-13
0                        1940                     5.433219457589871E-13
0                        1950                     5.433764715151557E-13
0                        1960                     5.434493337448392E-13
0                        1970                     5.435219905195003E-13
0                        1980                     5.435828538216555E-13
0                        1990                     5.436390921105386E-13
0                        2000                     5.43714409095439E-13
0                        2010                     5.437832933105374E-13
0                        2020                     5.438405777945904E-13
0                        2030                     5.439026436070561E-13
0                        2040                     5.439757625312175E-13
0                        2050                     5.44040693243099E-13
0                        2060                     5.440955277957055E-13
0                        2070                     5.441626775743311E-13
0                        2080                     5.442333832427832E-13
0                        2090                     5.442945108671006E-13
0                        2100                     5.443480805342688E-13
0                        2110                     5.444164042637548E-13
0                        2120                     5.444867254625707E-13
0                        2130                     5.44545632146327E-13
0                        2140                     5.445966868107182E-13
0                        2150                     5.446707264437218E-13
0                        2160                     5.447387859286031E-13
0                        2170                     5.447939436278894E-13
0                        2180                     5.44850890843263E-13
0                        2190                     5.449228485157532E-13
0                        2200                     5.449865570054088E-13
0                        2210                     5.450388037762375E-13
0                        2220                     5.451020795635398E-13
0                        2230                     5.451715046899894E-13
0                        2240                     5.452310731198522E-13
0                        2250                     5.452817751337825E-13
0                        2260                     5.453501109814336E-13
0                        2270                     5.45416722882914E-13
0                        2280                     5.454726312260555E-13
0                        2290                     5.45525704391091E-13
0                        2300                     5.455952125989017E-13
0                        2310                     5.456586552946676E-13
0                        2320                     5.457115875996337E-13
0                        2330                     5.457656661666109E-13
0                        2340                     5.458354607374287E-13
0                        2350                     5.458978061081609E-13
0                        2360                     5.459481215913633E-13
0                        2370                     5.460071031825267E-13
0                        2380                     5.460761758973361E-13
0                        2390                     5.461350285921742E-13
0                        2400                     5.461829430740621E-13
0                        2410                     5.462478213903627E-13
0                        2420                     5.463137962860857E-13
0                        2430                     5.463684134515292E-13
0                        2440                     5.464170423023468E-13
0                        2450                     5.464856630506515E-13
0                        2460                     5.465482925069562E-13
0                        2470                     5.465995094166627E-13
0                        2480                     5.466540421776845E-13
0                        2490                     5.467207784119755E-13
0                        2500                     5.467797968433338E-13
0                        2510                     5.468286339009047E-13
