spatialFrequency, correlation, smoothCorrelation
0.00455466,0.871059,0.866757
0.00457766,0.872241,0.865884
0.00460066,0.867017,0.865011
0.00462367,0.867567,0.864135
0.00464667,0.865916,0.863258
0.00466967,0.865518,0.862381
0.00469268,0.871802,0.8615
0.00471568,0.865892,0.860619
0.00473868,0.864999,0.859736
0.00476169,0.862377,0.858852
0.00478469,0.85637,0.857966
0.00480769,0.85959,0.857078
0.0048307,0.845026,0.85619
0.0048537,0.846804,0.855299
0.0048767,0.848082,0.854407
0.00489971,0.855894,0.853512
0.00492271,0.867226,0.852617
0.00494571,0.860254,0.851721
0.00496872,0.85282,0.850821
0.00499172,0.84975,0.84992
0.00501472,0.851847,0.849018
0.00503773,0.856124,0.848114
0.00506073,0.845352,0.847208
0.00508373,0.850637,0.846301
0.00510674,0.842653,0.845392
0.00512974,0.841244,0.844481
0.00515274,0.841036,0.843568
0.00517575,0.841928,0.842654
0.00519875,0.843786,0.841739
0.00522175,0.848507,0.840822
0.00524476,0.847512,0.839903
0.00526776,0.843755,0.838982
0.00529076,0.842511,0.83806
0.00531377,0.849034,0.837137
0.00533677,0.8407,0.836212
0.00535977,0.838589,0.835285
0.00538278,0.83629,0.834358
0.00540578,0.840367,0.833428
0.00542878,0.83423,0.832497
0.00545178,0.819709,0.831565
0.00547479,0.820091,0.830632
0.00549779,0.824365,0.829697
0.0055208,0.821931,0.828761
0.0055438,0.828642,0.827824
0.0055668,0.828425,0.826885
0.00558981,0.827565,0.825945
0.00561281,0.82412,0.825004
0.00563581,0.817737,0.824062
0.00565881,0.817492,0.823119
0.00568182,0.821981,0.822175
0.00570482,0.815817,0.821229
0.00572782,0.810132,0.820283
0.00575083,0.831984,0.819335
0.00577383,0.828643,0.818385
0.00579683,0.821972,0.817436
0.00581984,0.813941,0.816484
0.00584284,0.809121,0.815532
0.00586584,0.812627,0.814578
0.00588885,0.813528,0.813623
0.00591185,0.822515,0.812667
0.00593485,0.819287,0.81171
0.00595786,0.802218,0.810751
0.00598086,0.795972,0.809791
0.00600386,0.828109,0.80883
0.00602687,0.808757,0.807868
0.00604987,0.812271,0.806903
0.00607287,0.816809,0.805937
0.00609588,0.822723,0.80497
0.00611888,0.816554,0.804001
0.00614188,0.809736,0.80303
0.00616489,0.807514,0.802058
0.00618789,0.794741,0.801083
0.00621089,0.78628,0.800107
0.0062339,0.776117,0.799129
0.0062569,0.779014,0.798149
0.0062799,0.787645,0.797167
0.00630291,0.791541,0.796183
0.00632591,0.803672,0.795197
0.00634891,0.780632,0.794208
0.00637192,0.79717,0.793218
0.00639492,0.796004,0.792225
0.00641792,0.787266,0.79123
0.00644093,0.79421,0.790233
0.00646393,0.789165,0.789234
0.00648693,0.789765,0.788232
0.00650994,0.797052,0.787228
0.00653294,0.792305,0.786222
0.00655594,0.782903,0.785214
0.00657895,0.779947,0.784203
0.00660195,0.784668,0.783191
0.00662495,0.784815,0.782176
0.00664796,0.793056,0.781159
0.00667096,0.788845,0.78014
0.00669396,0.790674,0.779119
0.00671697,0.788055,0.778096
0.00673997,0.769985,0.77707
0.00676297,0.786335,0.776043
0.00678598,0.787213,0.775013
0.00680898,0.775029,0.773983
0.00683198,0.775194,0.772949
0.00685499,0.773421,0.771914
0.00687799,0.789538,0.770876
0.00690099,0.802767,0.769836
0.006924,0.783306,0.768795
0.006947,0.777354,0.767751
0.00697,0.760599,0.766705
0.00699301,0.76245,0.765657
0.00701601,0.757188,0.764607
0.00703901,0.776245,0.763555
0.00706202,0.776826,0.7625
0.00708502,0.770203,0.761443
0.00710802,0.756765,0.760383
0.00713103,0.759121,0.759322
0.00715403,0.760601,0.758258
0.00717703,0.752214,0.757192
0.00720004,0.754989,0.756123
0.00722304,0.753398,0.755052
0.00724604,0.774139,0.753978
0.00726905,0.775343,0.752901
0.00729205,0.764485,0.751822
0.00731505,0.757531,0.750741
0.00733806,0.754267,0.749658
0.00736106,0.752806,0.748571
0.00738406,0.74853,0.747482
0.00740707,0.760405,0.74639
0.00743007,0.744722,0.745296
0.00745307,0.743285,0.744198
0.00747608,0.743187,0.743098
0.00749908,0.728011,0.741996
0.00752208,0.737017,0.74089
0.00754509,0.744894,0.739782
0.00756809,0.741803,0.738671
0.00759109,0.737105,0.737557
0.0076141,0.730892,0.73644
0.0076371,0.737768,0.73532
0.0076601,0.747403,0.734197
0.00768311,0.74992,0.733072
0.00770611,0.744776,0.731943
0.00772911,0.740492,0.730811
0.00775212,0.724947,0.729676
0.00777512,0.736735,0.728538
0.00779812,0.719962,0.727397
0.00782113,0.729103,0.726253
0.00784413,0.726014,0.725106
0.00786713,0.715405,0.723955
0.00789014,0.727554,0.722801
0.00791314,0.720211,0.721643
0.00793614,0.7083,0.720483
0.00795915,0.707689,0.719318
0.00798215,0.713719,0.71815
0.00800515,0.697657,0.71698
0.00802816,0.712478,0.715805
0.00805116,0.725503,0.714627
0.00807416,0.720858,0.713445
0.00809717,0.720655,0.712261
0.00812017,0.729668,0.711073
0.00814317,0.741846,0.709882
0.00816618,0.733954,0.708689
0.00818918,0.726304,0.707491
0.00821218,0.718145,0.70629
0.00823519,0.70069,0.705087
0.00825819,0.705475,0.703881
0.00828119,0.688936,0.702671
0.0083042,0.710551,0.701459
0.0083272,0.711594,0.700243
0.0083502,0.710659,0.699025
0.00837321,0.699986,0.697804
0.00839621,0.712894,0.69658
0.00841921,0.707421,0.695354
0.00844222,0.693057,0.694124
0.00846522,0.723673,0.692892
0.00848822,0.726492,0.691657
0.00851123,0.707625,0.690419
0.00853423,0.685053,0.689178
0.00855723,0.682633,0.687935
0.00858024,0.685989,0.686689
0.00860324,0.690124,0.68544
0.00862624,0.677633,0.684189
0.00864925,0.682449,0.682935
0.00867225,0.680581,0.681678
0.00869525,0.696672,0.680419
0.00871825,0.696975,0.679157
0.00874126,0.69366,0.677894
0.00876426,0.686385,0.676628
0.00878727,0.674139,0.675359
0.00881027,0.677492,0.674088
0.00883327,0.678395,0.672815
0.00885628,0.675319,0.67154
0.00887928,0.67711,0.670263
0.00890228,0.667888,0.668983
0.00892529,0.668314,0.667702
0.00894829,0.663048,0.666418
0.00897129,0.653582,0.665133
0.0089943,0.656484,0.663846
0.0090173,0.644095,0.662557
0.0090403,0.655992,0.661266
0.00906331,0.650012,0.659974
0.00908631,0.657498,0.658679
0.00910931,0.647589,0.657382
0.00913232,0.652737,0.656084
0.00915532,0.655801,0.654784
0.00917832,0.64524,0.653482
0.00920132,0.649104,0.652179
0.00922433,0.664098,0.650874
0.00924733,0.665885,0.649567
0.00927033,0.649343,0.648258
0.00929334,0.637886,0.646947
0.00931634,0.635482,0.645634
0.00933934,0.643255,0.644321
0.00936235,0.65026,0.643005
0.00938535,0.654949,0.641687
0.00940835,0.668106,0.640368
0.00943136,0.644417,0.639048
0.00945436,0.63629,0.637724
0.00947736,0.636833,0.636399
0.00950037,0.650974,0.635074
0.00952337,0.654433,0.633745
0.00954637,0.647085,0.632415
0.00956938,0.649099,0.631084
0.00959238,0.643614,0.62975
0.00961538,0.631033,0.628415
0.00963839,0.6339,0.627078
0.00966139,0.646341,0.62574
0.00968439,0.636577,0.624399
0.0097074,0.629729,0.623057
0.0097304,0.638643,0.621713
0.0097534,0.627617,0.620366
0.00977641,0.61194,0.619018
0.00979941,0.612681,0.617668
0.00982241,0.607617,0.616316
0.00984542,0.611153,0.614963
0.00986842,0.61683,0.613608
0.00989142,0.61899,0.612251
0.00991443,0.609153,0.610891
0.00993743,0.587254,0.60953
0.00996043,0.610419,0.608168
0.00998344,0.598056,0.606803
0.0100064,0.603962,0.605437
0.0100294,0.609158,0.604069
0.0100524,0.594412,0.602699
0.0100755,0.603589,0.601328
0.0100985,0.611706,0.599955
0.0101215,0.595072,0.598581
0.0101445,0.586457,0.597205
0.0101675,0.592496,0.595828
0.0101905,0.587617,0.594451
0.0102135,0.596574,0.593071
0.0102365,0.614595,0.591692
0.0102595,0.601805,0.59031
0.0102825,0.583139,0.588928
0.0103055,0.591577,0.587546
0.0103285,0.590909,0.586161
0.0103515,0.576574,0.584777
0.0103745,0.561454,0.583392
0.0103975,0.564719,0.582006
0.0104205,0.563752,0.580619
0.0104435,0.583505,0.579231
0.0104665,0.576553,0.577844
0.0104895,0.588907,0.576455
0.0105125,0.569944,0.575066
0.0105355,0.567266,0.573677
0.0105585,0.564238,0.572286
0.0105815,0.552118,0.570895
0.0106045,0.571414,0.569504
0.0106275,0.5697,0.568111
0.0106505,0.580273,0.566719
0.0106735,0.567644,0.565326
0.0106965,0.57169,0.563931
0.0107195,0.578933,0.562538
0.0107425,0.550841,0.561143
0.0107656,0.534485,0.559746
0.0107886,0.532941,0.558351
0.0108116,0.520138,0.556954
0.0108346,0.541031,0.555556
0.0108576,0.548224,0.554158
0.0108806,0.549046,0.55276
0.0109036,0.543356,0.551361
0.0109266,0.535724,0.549962
0.0109496,0.518007,0.548562
0.0109726,0.543247,0.547162
0.0109956,0.544473,0.545762
0.0110186,0.578314,0.544361
0.0110416,0.569444,0.542961
0.0110646,0.565101,0.541561
0.0110876,0.560582,0.540161
0.0111106,0.549589,0.53876
0.0111336,0.559598,0.53736
0.0111566,0.556686,0.535959
0.0111796,0.540201,0.534559
0.0112026,0.536547,0.533159
0.0112256,0.552136,0.531759
0.0112486,0.536354,0.530359
0.0112716,0.539738,0.52896
0.0112946,0.5351,0.52756
0.0113176,0.518724,0.52616
0.0113406,0.521792,0.524761
0.0113636,0.496333,0.523361
0.0113866,0.499858,0.521962
0.0114096,0.532287,0.520563
0.0114326,0.515235,0.519164
0.0114556,0.509415,0.517765
0.0114787,0.535882,0.516367
0.0115017,0.503307,0.514969
0.0115247,0.515002,0.513571
0.0115477,0.515154,0.512173
0.0115707,0.484548,0.510775
0.0115937,0.487851,0.509378
0.0116167,0.497501,0.507981
0.0116397,0.523893,0.506585
0.0116627,0.537381,0.505189
0.0116857,0.528242,0.503794
0.0117087,0.516167,0.502399
0.0117317,0.509117,0.501005
0.0117547,0.489991,0.499612
0.0117777,0.487204,0.49822
0.0118007,0.523178,0.496829
0.0118237,0.534777,0.495439
0.0118467,0.524741,0.494049
0.0118697,0.517507,0.492661
0.0118927,0.501406,0.491273
0.0119157,0.48369,0.489887
0.0119387,0.481571,0.488501
0.0119617,0.494723,0.487117
0.0119847,0.485684,0.485735
0.0120077,0.469153,0.484352
0.0120307,0.477204,0.482971
0.0120537,0.470103,0.481591
0.0120767,0.479362,0.480212
0.0120997,0.474932,0.478834
0.0121227,0.454552,0.477458
0.0121457,0.477161,0.476082
0.0121688,0.46942,0.474708
0.0121918,0.466172,0.473335
0.0122148,0.44839,0.471963
0.0122378,0.466377,0.470592
0.0122608,0.47742,0.469222
0.0122838,0.454013,0.467854
0.0123068,0.451633,0.466486
0.0123298,0.44316,0.46512
0.0123528,0.430357,0.463755
0.0123758,0.446168,0.46239
0.0123988,0.439368,0.461027
0.0124218,0.453371,0.459665
0.0124448,0.450967,0.458304
0.0124678,0.456311,0.456944
0.0124908,0.464161,0.455585
0.0125138,0.462209,0.454226
0.0125368,0.455542,0.45287
0.0125598,0.448872,0.451514
0.0125828,0.447045,0.450158
0.0126058,0.439414,0.448804
0.0126288,0.446605,0.44745
0.0126518,0.444871,0.446097
0.0126748,0.429082,0.444745
0.0126978,0.426645,0.443394
0.0127208,0.423738,0.442043
0.0127438,0.450336,0.440694
0.0127668,0.443177,0.439345
0.0127898,0.433787,0.437996
0.0128128,0.447871,0.436649
0.0128358,0.446537,0.435301
0.0128589,0.43689,0.433955
0.0128819,0.424036,0.432609
0.0129049,0.425288,0.431264
0.0129279,0.423537,0.429919
0.0129509,0.431789,0.428575
0.0129739,0.438378,0.427231
0.0129969,0.436193,0.425887
0.0130199,0.439589,0.424544
0.0130429,0.429285,0.423202
0.0130659,0.419431,0.421861
0.0130889,0.436202,0.42052
0.0131119,0.443396,0.419179
0.0131349,0.443807,0.417838
0.0131579,0.447155,0.416498
0.0131809,0.423463,0.415159
0.0132039,0.411856,0.413819
0.0132269,0.434081,0.41248
0.0132499,0.438703,0.411142
0.0132729,0.417469,0.409802
0.0132959,0.400502,0.408463
0.0133189,0.381689,0.407125
0.0133419,0.385437,0.405787
0.0133649,0.391679,0.404448
0.0133879,0.403854,0.403109
0.0134109,0.401505,0.401771
0.0134339,0.391427,0.400433
0.0134569,0.394614,0.399094
0.0134799,0.396278,0.397756
0.0135029,0.385809,0.396417
0.0135259,0.387629,0.395079
0.013549,0.370908,0.393741
0.013572,0.361937,0.392403
0.013595,0.347059,0.391065
0.013618,0.35441,0.389727
0.013641,0.344876,0.388389
0.013664,0.369015,0.387053
0.013687,0.392878,0.385716
0.01371,0.405877,0.38438
0.013733,0.394094,0.383045
0.013756,0.375817,0.381709
0.013779,0.375287,0.380376
0.013802,0.373291,0.379042
0.013825,0.366879,0.37771
0.013848,0.357938,0.37638
0.013871,0.34648,0.37505
0.013894,0.369708,0.373722
0.013917,0.391102,0.372396
0.01394,0.401288,0.371072
0.013963,0.382478,0.36975
0.013986,0.369375,0.368429
0.014009,0.362151,0.367111
0.014032,0.386623,0.365796
0.014055,0.357683,0.364482
0.014078,0.366096,0.363171
0.014101,0.350006,0.361862
0.014124,0.365163,0.360555
0.014147,0.371074,0.359251
0.01417,0.344225,0.357948
0.014193,0.315873,0.356649
0.014216,0.339585,0.355351
0.0142391,0.37568,0.354056
0.0142621,0.356953,0.352763
0.0142851,0.379795,0.351473
0.0143081,0.355899,0.350184
0.0143311,0.321302,0.348898
0.0143541,0.332449,0.347614
0.0143771,0.365793,0.346332
0.0144001,0.340892,0.345052
0.0144231,0.350203,0.343775
0.0144461,0.34,0.3425
0.0144691,0.319391,0.341227
0.0144921,0.319122,0.339956
0.0145151,0.353036,0.338688
0.0145381,0.348555,0.337422
0.0145611,0.344479,0.336157
0.0145841,0.352312,0.334894
0.0146071,0.3539,0.333634
0.0146301,0.347437,0.332375
0.0146531,0.35563,0.331118
0.0146761,0.34123,0.329863
0.0146991,0.338517,0.328609
0.0147221,0.345631,0.327356
0.0147451,0.346462,0.326105
0.0147681,0.337641,0.324855
0.0147911,0.316874,0.323608
0.0148141,0.316469,0.322359
0.0148371,0.31848,0.321113
0.0148601,0.313982,0.319866
0.0148831,0.291511,0.318622
0.0149061,0.305657,0.317378
0.0149292,0.289149,0.316135
0.0149522,0.324844,0.314891
0.0149752,0.296815,0.313649
0.0149982,0.307431,0.312408
0.0150212,0.31592,0.311168
0.0150442,0.313995,0.309929
0.0150672,0.320624,0.308689
0.0150902,0.299932,0.30745
0.0151132,0.306762,0.306213
0.0151362,0.291239,0.304977
0.0151592,0.284645,0.303742
0.0151822,0.28528,0.302506
0.0152052,0.310794,0.301273
0.0152282,0.321203,0.30004
0.0152512,0.292537,0.298809
0.0152742,0.274926,0.297579
0.0152972,0.294975,0.29635
0.0153202,0.287118,0.295123
0.0153432,0.321176,0.293897
0.0153662,0.30752,0.292674
0.0153892,0.307526,0.291452
0.0154122,0.287086,0.290232
0.0154352,0.312628,0.289013
0.0154582,0.294785,0.287796
0.0154812,0.278909,0.286583
0.0155042,0.283586,0.285371
0.0155272,0.275888,0.284161
0.0155502,0.262892,0.282954
0.0155732,0.263198,0.281749
0.0155962,0.294577,0.280547
0.0156192,0.282798,0.279347
