spatialFrequency, correlation, smoothCorrelation
0.00605875,0.765,0.762647
0.00608935,0.762642,0.76075
0.00611995,0.748283,0.75885
0.00615055,0.731625,0.756946
0.00618115,0.738354,0.755039
0.00621175,0.753366,0.753127
0.00624235,0.757809,0.751211
0.00627295,0.763899,0.749292
0.00630355,0.763562,0.747368
0.00633415,0.762197,0.745441
0.00636475,0.750325,0.74351
0.00639535,0.7382,0.741576
0.00642595,0.726378,0.739639
0.00645655,0.738645,0.737698
0.00648715,0.745626,0.735755
0.00651775,0.729622,0.733808
0.00654835,0.720337,0.731859
0.00657895,0.722921,0.729907
0.00660955,0.717696,0.727953
0.00664015,0.727055,0.725997
0.00667075,0.728876,0.724039
0.00670135,0.731126,0.722079
0.00673195,0.731929,0.720119
0.00676255,0.746945,0.718156
0.00679315,0.73801,0.716193
0.00682375,0.736137,0.714228
0.00685435,0.722499,0.712262
0.00688495,0.713985,0.710295
0.00691554,0.738805,0.708328
0.00694614,0.718058,0.706358
0.00697674,0.699494,0.704388
0.00700734,0.688791,0.702417
0.00703794,0.669693,0.700445
0.00706854,0.653122,0.698472
0.00709914,0.673201,0.696497
0.00712974,0.691733,0.694522
0.00716034,0.686814,0.692546
0.00719094,0.683852,0.690569
0.00722154,0.666644,0.688592
0.00725214,0.693061,0.686614
0.00728274,0.698379,0.684635
0.00731334,0.697853,0.682656
0.00734394,0.709384,0.680674
0.00737454,0.705009,0.678693
0.00740514,0.686003,0.67671
0.00743574,0.667237,0.674727
0.00746634,0.656224,0.672742
0.00749694,0.660573,0.670755
0.00752754,0.684088,0.668767
0.00755814,0.69911,0.666778
0.00758874,0.704385,0.664787
0.00761934,0.687474,0.662795
0.00764994,0.655279,0.6608
0.00768054,0.637757,0.658803
0.00771114,0.643711,0.656804
0.00774174,0.655216,0.654801
0.00777234,0.647659,0.652796
0.00780294,0.644731,0.650789
0.00783354,0.652665,0.648776
0.00786414,0.679664,0.646761
0.00789474,0.674879,0.644742
0.00792534,0.668913,0.64272
0.00795594,0.655907,0.640693
0.00798654,0.633678,0.638663
0.00801714,0.636275,0.636629
0.00804774,0.651906,0.634592
0.00807834,0.656759,0.63255
0.00810894,0.653342,0.630505
0.00813953,0.649747,0.628456
0.00817013,0.65047,0.626404
0.00820073,0.622591,0.624349
0.00823133,0.604532,0.62229
0.00826193,0.609173,0.620227
0.00829253,0.624672,0.618161
0.00832313,0.627382,0.616092
0.00835373,0.62947,0.614019
0.00838433,0.618734,0.611942
0.00841493,0.58537,0.609862
0.00844553,0.57298,0.607778
0.00847613,0.576912,0.60569
0.00850673,0.579756,0.603598
0.00853733,0.617611,0.601502
0.00856793,0.632381,0.599401
0.00859853,0.632009,0.597297
0.00862913,0.612274,0.59519
0.00865973,0.598977,0.593079
0.00869033,0.616973,0.590966
0.00872093,0.637805,0.588851
0.00875153,0.613088,0.586735
0.00878213,0.581461,0.584619
0.00881273,0.581496,0.582504
0.00884333,0.584209,0.580391
0.00887393,0.582198,0.578279
0.00890453,0.542701,0.576171
0.00893513,0.517391,0.574068
0.00896573,0.511321,0.571969
0.00899633,0.53347,0.569877
0.00902693,0.511283,0.567791
0.00905753,0.526359,0.565712
0.00908813,0.526041,0.563642
0.00911873,0.509426,0.561582
0.00914933,0.519937,0.559531
0.00917993,0.544159,0.557492
0.00921053,0.540458,0.555464
0.00924113,0.546731,0.553447
0.00927173,0.546182,0.551443
0.00930233,0.55394,0.549452
0.00933293,0.574757,0.547474
0.00936353,0.601968,0.545507
0.00939413,0.598873,0.543554
0.00942472,0.570747,0.541614
0.00945532,0.530062,0.539685
0.00948592,0.517402,0.537768
0.00951652,0.522901,0.535861
0.00954712,0.526481,0.533966
0.00957772,0.564277,0.532081
0.00960832,0.557485,0.530205
0.00963892,0.534492,0.528338
0.00966952,0.528703,0.52648
0.00970012,0.537651,0.52463
0.00973072,0.560117,0.522786
0.00976132,0.543099,0.52095
0.00979192,0.520497,0.519119
0.00982252,0.500937,0.517294
0.00985312,0.478819,0.515474
0.00988372,0.475235,0.513658
0.00991432,0.491065,0.511846
0.00994492,0.49183,0.510037
0.00997552,0.537925,0.508232
0.0100061,0.522326,0.50643
0.0100367,0.491123,0.504629
0.0100673,0.486874,0.502831
0.0100979,0.496075,0.501035
0.0101285,0.507592,0.499242
0.0101591,0.507532,0.49745
0.0101897,0.515248,0.495661
0.0102203,0.502278,0.493874
0.0102509,0.491518,0.492089
0.0102815,0.47003,0.490307
0.0103121,0.44876,0.488528
0.0103427,0.475337,0.486752
0.0103733,0.483839,0.48498
0.0104039,0.486464,0.483211
0.0104345,0.495257,0.481446
0.0104651,0.492418,0.479686
0.0104957,0.482077,0.477931
0.0105263,0.472791,0.476183
0.0105569,0.454983,0.474441
0.0105875,0.440303,0.472708
0.0106181,0.425569,0.470985
0.0106487,0.438661,0.469273
0.0106793,0.432266,0.467573
0.0107099,0.411805,0.465887
0.0107405,0.424467,0.464217
0.0107711,0.441659,0.462565
0.0108017,0.42156,0.460931
0.0108323,0.399468,0.459319
0.0108629,0.394099,0.45773
0.0108935,0.410734,0.456165
0.0109241,0.420651,0.454626
0.0109547,0.425421,0.453114
0.0109853,0.434875,0.451632
0.0110159,0.445797,0.450178
0.0110465,0.441847,0.448755
0.0110771,0.441859,0.447364
0.0111077,0.443614,0.446004
0.0111383,0.432469,0.444677
0.0111689,0.413069,0.44338
0.0111995,0.397213,0.442116
0.0112301,0.387586,0.440884
0.0112607,0.381779,0.439681
0.0112913,0.405309,0.438508
0.0113219,0.423476,0.437363
0.0113525,0.413653,0.436247
0.0113831,0.387964,0.435156
0.0114137,0.382179,0.43409
0.0114443,0.374141,0.433047
0.0114749,0.365361,0.432027
0.0115055,0.359242,0.431026
0.0115361,0.377949,0.430044
0.0115667,0.400448,0.429079
0.0115973,0.420346,0.42813
0.0116279,0.449969,0.427196
0.0116585,0.475285,0.426274
0.0116891,0.496487,0.425362
0.0117197,0.519365,0.424461
0.0117503,0.516541,0.423567
0.0117809,0.511094,0.42268
0.0118115,0.522267,0.421797
0.0118421,0.504418,0.420918
0.0118727,0.479158,0.42004
0.0119033,0.474317,0.419163
0.0119339,0.460552,0.418284
0.0119645,0.450523,0.417403
0.0119951,0.445074,0.416519
0.0120257,0.451398,0.415631
0.0120563,0.455966,0.414738
0.0120869,0.465519,0.413838
0.0121175,0.467051,0.412933
0.0121481,0.457134,0.412019
0.0121787,0.445608,0.411097
0.0122093,0.428324,0.410164
0.0122399,0.405326,0.409222
0.0122705,0.380941,0.408268
0.0123011,0.381962,0.407302
0.0123317,0.334845,0.406323
0.0123623,0.321514,0.40533
0.0123929,0.336332,0.404323
0.0124235,0.308325,0.403302
0.0124541,0.319498,0.402267
0.0124847,0.319191,0.401216
0.0125153,0.336839,0.40015
0.0125459,0.310719,0.399069
0.0125765,0.299721,0.397972
0.0126071,0.298569,0.396861
0.0126377,0.32981,0.395737
0.0126683,0.336652,0.394597
0.0126989,0.315123,0.393445
0.0127295,0.312292,0.392278
0.0127601,0.313117,0.3911
0.0127907,0.335548,0.389909
0.0128213,0.340928,0.388706
0.0128519,0.339364,0.38749
0.0128825,0.341767,0.386265
0.0129131,0.345075,0.385029
0.0129437,0.327119,0.383783
0.0129743,0.318912,0.382526
0.0130049,0.334359,0.38126
0.0130355,0.307077,0.379985
0.0130661,0.314447,0.378701
0.0130967,0.341641,0.377408
0.0131273,0.347566,0.376106
0.0131579,0.351228,0.374797
0.0131885,0.362066,0.373479
0.0132191,0.358625,0.372154
0.0132497,0.355441,0.370821
0.0132803,0.371432,0.36948
0.0133109,0.379431,0.368133
0.0133415,0.363369,0.366777
0.0133721,0.360577,0.365415
0.0134027,0.393851,0.364046
0.0134333,0.404931,0.36267
0.0134639,0.415755,0.361287
0.0134945,0.433564,0.359896
0.0135251,0.465982,0.358498
0.0135557,0.478187,0.357094
0.0135863,0.481732,0.355682
0.0136169,0.519422,0.354263
0.0136475,0.552024,0.352838
0.0136781,0.569815,0.351405
0.0137087,0.577336,0.349966
0.0137393,0.574012,0.348521
0.0137699,0.559295,0.347068
0.0138005,0.544919,0.34561
0.0138311,0.552619,0.344146
0.0138617,0.55673,0.342675
0.0138923,0.549666,0.341198
0.0139229,0.530017,0.339714
0.0139535,0.494172,0.338223
0.0139841,0.468889,0.336726
0.0140147,0.457637,0.33522
0.0140453,0.44702,0.333707
0.0140759,0.429053,0.332187
0.0141065,0.374852,0.330658
0.0141371,0.379921,0.329121
0.0141677,0.34653,0.327576
0.0141983,0.296367,0.326022
0.0142289,0.25909,0.32446
0.0142595,0.247944,0.322888
0.0142901,0.248208,0.321307
0.0143207,0.259928,0.319718
0.0143513,0.258887,0.318119
0.0143819,0.235087,0.316511
0.0144125,0.224588,0.314893
0.0144431,0.210852,0.313266
0.0144737,0.198899,0.311629
0.0145043,0.22705,0.309981
0.0145349,0.269718,0.308324
0.0145655,0.289696,0.306656
0.0145961,0.273889,0.304978
0.0146267,0.257708,0.303289
0.0146573,0.2608,0.301588
0.0146879,0.253621,0.299875
0.0147185,0.242707,0.298151
0.0147491,0.219369,0.296413
0.0147797,0.229727,0.294662
0.0148103,0.238888,0.292897
0.0148409,0.236151,0.291116
0.0148715,0.202701,0.28932
0.0149021,0.207902,0.287509
0.0149327,0.224409,0.285681
0.0149633,0.249513,0.283836
0.0149939,0.246577,0.281975
0.0150245,0.264854,0.280096
0.0150551,0.261289,0.278201
0.0150857,0.239215,0.276288
0.0151163,0.232143,0.274359
0.0151469,0.225808,0.272414
0.0151775,0.212139,0.270452
0.0152081,0.203369,0.268474
0.0152387,0.1922,0.266481
0.0152693,0.208169,0.264474
0.0152999,0.230869,0.262452
0.0153305,0.262606,0.260418
0.0153611,0.274523,0.258373
0.0153917,0.304274,0.256317
0.0154223,0.317822,0.254252
0.0154529,0.305029,0.252178
0.0154835,0.286697,0.250099
0.0155141,0.288593,0.248015
0.0155447,0.297853,0.245927
0.0155753,0.273727,0.243837
0.0156059,0.272431,0.241747
0.0156365,0.316839,0.239657
0.0156671,0.30211,0.237571
0.0156977,0.289618,0.235488
0.0157283,0.289275,0.23341
0.0157589,0.280395,0.231338
0.0157895,0.244292,0.229274
0.0158201,0.249628,0.227217
0.0158507,0.255445,0.225172
0.0158813,0.244455,0.223137
0.0159119,0.233493,0.221114
0.0159425,0.201434,0.219105
0.0159731,0.192278,0.21711
0.0160037,0.192933,0.215132
0.0160343,0.202884,0.213171
0.0160649,0.218813,0.211228
0.0160955,0.211769,0.209305
0.0161261,0.21069,0.207403
0.0161567,0.203107,0.205524
0.0161873,0.202062,0.203667
0.0162179,0.191158,0.201835
0.0162485,0.195045,0.200027
0.0162791,0.183841,0.198245
0.0163097,0.173944,0.196488
0.0163403,0.172428,0.194758
0.0163709,0.153434,0.193056
0.0164015,0.129929,0.19138
0.0164321,0.134752,0.189732
0.0164627,0.15134,0.188111
0.0164933,0.149279,0.186517
0.0165239,0.143422,0.184949
0.0165545,0.151369,0.183406
0.0165851,0.137471,0.181889
0.0166157,0.122313,0.180395
0.0166463,0.143712,0.178924
0.0166769,0.158821,0.177473
0.0167075,0.162622,0.176042
0.0167381,0.172968,0.174627
0.0167687,0.178648,0.173229
0.0167993,0.146451,0.171844
0.0168299,0.134935,0.17047
0.0168605,0.136855,0.169106
0.0168911,0.145892,0.167749
0.0169217,0.131753,0.166399
