spatialFrequency, correlation, smoothCorrelation
0,0.999964,0.997229
5.96374e-05,0.999902,0.996563
0.000119275,0.999882,0.996003
0.000178912,0.999824,0.995531
0.00023855,0.999794,0.995126
0.000298187,0.999345,0.994769
0.000357824,0.998531,0.994439
0.000417462,0.997938,0.994116
0.000477099,0.997646,0.99378
0.000536737,0.996184,0.993411
0.000596374,0.993826,0.99299
0.000656011,0.990979,0.992504
0.000715649,0.987449,0.991937
0.000775286,0.986928,0.991277
0.000834924,0.98897,0.990516
0.000894561,0.987054,0.989649
0.000954198,0.986688,0.988672
0.00101384,0.983689,0.987581
0.00107347,0.980206,0.986378
0.00113311,0.979648,0.985062
0.00119275,0.975559,0.983635
0.00125239,0.971077,0.982105
0.00131202,0.961405,0.980474
0.00137166,0.956781,0.978748
0.0014313,0.96652,0.976936
0.00149094,0.968391,0.975042
0.00155057,0.973926,0.973073
0.00161021,0.984977,0.971037
0.00166985,0.988651,0.968939
0.00172948,0.990076,0.966785
0.00178912,0.992733,0.964581
0.00184876,0.993541,0.962332
0.0019084,0.994439,0.960042
0.00196803,0.994878,0.957719
0.00202767,0.994454,0.955365
0.00208731,0.99448,0.952986
0.00214695,0.993382,0.950586
0.00220658,0.991993,0.948169
0.00226622,0.989729,0.945738
0.00232586,0.989081,0.943297
0.0023855,0.987826,0.940848
0.00244513,0.982299,0.938392
0.00250477,0.977458,0.93593
0.00256441,0.966861,0.933464
0.00262405,0.964245,0.930994
0.00268368,0.961145,0.928521
0.00274332,0.945122,0.926042
0.00280296,0.931192,0.923559
0.0028626,0.902539,0.921066
0.00292223,0.905116,0.918563
0.00298187,0.910564,0.916046
0.00304151,0.907514,0.913513
0.00310115,0.9088,0.910961
0.00316078,0.904472,0.908387
0.00322042,0.881936,0.90579
0.00328006,0.865547,0.90317
0.00333969,0.861724,0.900524
0.00339933,0.876559,0.89785
0.00345897,0.865811,0.895149
0.00351861,0.870194,0.892419
0.00357824,0.876836,0.889661
0.00363788,0.875011,0.886874
0.00369752,0.86719,0.884061
0.00375716,0.862193,0.88122
0.00381679,0.875645,0.878354
0.00387643,0.851465,0.875463
0.00393607,0.835174,0.87255
0.00399571,0.860989,0.869618
0.00405534,0.877802,0.866672
0.00411498,0.876232,0.86372
0.00417462,0.851182,0.860766
0.00423426,0.855957,0.857817
0.00429389,0.856314,0.854881
0.00435353,0.834151,0.851962
0.00441317,0.827008,0.849069
0.00447281,0.823969,0.846207
0.00453244,0.815287,0.843385
0.00459208,0.836565,0.840606
0.00465172,0.818058,0.837879
0.00471136,0.823756,0.835206
0.00477099,0.83537,0.832593
0.00483063,0.819205,0.830041
0.00489027,0.829071,0.827555
0.0049499,0.832471,0.825133
0.00500954,0.827798,0.822777
0.00506918,0.833734,0.820487
0.00512882,0.822668,0.818262
0.00518845,0.831693,0.8161
0.00524809,0.82184,0.813997
0.00530773,0.804918,0.811951
0.00536737,0.819896,0.809956
0.005427,0.818597,0.808007
0.00548664,0.82662,0.806098
0.00554628,0.828067,0.804223
0.00560592,0.821999,0.802374
0.00566555,0.824976,0.800547
0.00572519,0.804652,0.798737
0.00578483,0.801511,0.796938
0.00584447,0.798018,0.795143
0.0059041,0.782232,0.793348
0.00596374,0.761537,0.791549
0.00602338,0.766955,0.789742
0.00608302,0.766875,0.787923
0.00614265,0.763274,0.786087
0.00620229,0.759942,0.784233
0.00626193,0.757494,0.782359
0.00632156,0.762729,0.780465
0.0063812,0.751902,0.778551
0.00644084,0.761319,0.776621
0.00650048,0.774746,0.774675
0.00656011,0.746421,0.772715
0.00661975,0.729756,0.770744
0.00667939,0.749676,0.768762
0.00673903,0.722409,0.766771
0.00679866,0.707628,0.764772
0.0068583,0.746882,0.762766
0.00691794,0.767237,0.760752
0.00697758,0.782715,0.758733
0.00703721,0.802235,0.75671
0.00709685,0.791155,0.754683
0.00715649,0.76367,0.752654
0.00721613,0.744697,0.750626
0.00727576,0.750369,0.748601
0.0073354,0.768447,0.74658
0.00739504,0.774652,0.744565
0.00745468,0.765069,0.74256
0.00751431,0.772132,0.740567
0.00757395,0.775393,0.73859
0.00763359,0.768358,0.73663
0.00769323,0.770997,0.734693
0.00775286,0.747437,0.732779
0.0078125,0.741214,0.73089
0.00787214,0.746346,0.729027
0.00793177,0.749369,0.727189
0.00799141,0.748162,0.725376
0.00805105,0.756336,0.723586
0.00811069,0.734245,0.721817
0.00817032,0.723061,0.720065
0.00822996,0.711299,0.718329
0.0082896,0.720471,0.716608
0.00834924,0.710854,0.714898
0.00840887,0.671776,0.713198
0.00846851,0.669476,0.711504
0.00852815,0.692689,0.709812
0.00858779,0.718819,0.70812
0.00864742,0.733523,0.706423
0.00870706,0.695468,0.704717
0.0087667,0.643463,0.703
0.00882634,0.661968,0.701266
0.00888597,0.680323,0.699513
0.00894561,0.684727,0.697738
0.00900525,0.661314,0.695939
0.00906489,0.647931,0.694114
0.00912452,0.66408,0.692265
0.00918416,0.680551,0.69039
0.0092438,0.701848,0.688493
0.00930343,0.71769,0.686574
0.00936307,0.714413,0.684636
0.00942271,0.686583,0.682681
0.00948235,0.687181,0.680711
0.00954198,0.692722,0.67873
0.00960162,0.670538,0.676741
0.00966126,0.656969,0.674746
