spatialFrequency, correlation, smoothCorrelation
0,0.999988,0.999407
3.87357e-05,0.99993,0.99881
7.74713e-05,0.999885,0.998256
0.000116207,0.99987,0.997741
0.000154943,0.999837,0.997261
0.000193678,0.999682,0.996811
0.000232414,0.999484,0.996385
0.00027115,0.999292,0.995984
0.000309885,0.999399,0.995597
0.000348621,0.999298,0.995224
0.000387357,0.999099,0.994858
0.000426092,0.999135,0.994495
0.000464828,0.998422,0.99413
0.000503564,0.99736,0.99376
0.000542299,0.995725,0.993383
0.000581035,0.994649,0.992992
0.000619771,0.993884,0.992584
0.000658506,0.991793,0.992157
0.000697242,0.98945,0.991709
0.000735978,0.988231,0.991237
0.000774713,0.987212,0.990735
0.000813449,0.986958,0.990202
0.000852185,0.988894,0.989637
0.00089092,0.98848,0.989038
0.000929656,0.988016,0.988401
0.000968392,0.987496,0.987725
0.00100713,0.986231,0.987011
0.00104586,0.987701,0.986255
0.0010846,0.988279,0.985459
0.00112333,0.986476,0.984621
0.00116207,0.985439,0.98374
0.00120081,0.98138,0.982819
0.00123954,0.971809,0.981856
0.00127828,0.966844,0.980855
0.00131701,0.969834,0.979812
0.00135575,0.966099,0.978731
0.00139448,0.957519,0.977614
0.00143322,0.953201,0.976464
0.00147196,0.956869,0.975278
0.00151069,0.958113,0.97406
0.00154943,0.967743,0.972811
0.00158816,0.970124,0.971535
0.0016269,0.973995,0.970234
0.00166563,0.977751,0.968907
0.00170437,0.981639,0.967557
0.00174311,0.984572,0.966188
0.00178184,0.985786,0.9648
0.00182058,0.986539,0.963395
0.00185931,0.986531,0.961975
0.00189805,0.987081,0.960542
0.00193678,0.98719,0.959099
0.00197552,0.987671,0.957645
0.00201425,0.990348,0.956183
0.00205299,0.990719,0.954713
0.00209173,0.991539,0.953237
0.00213046,0.989799,0.951756
0.0021692,0.989849,0.950271
0.00220793,0.987985,0.948782
0.00224667,0.987429,0.947289
0.0022854,0.988158,0.945793
0.00232414,0.987137,0.944295
0.00236288,0.986522,0.942795
0.00240161,0.984072,0.941292
0.00244035,0.981088,0.939786
0.00247908,0.977391,0.938278
0.00251782,0.973028,0.936766
0.00255655,0.970896,0.935251
0.00259529,0.961284,0.933732
0.00263403,0.956513,0.932209
0.00267276,0.953034,0.93068
0.0027115,0.946115,0.929146
0.00275023,0.943866,0.927604
0.00278897,0.932692,0.926054
0.0028277,0.927735,0.924497
0.00286644,0.928042,0.922929
0.00290518,0.926017,0.921351
0.00294391,0.915787,0.919762
0.00298265,0.914017,0.918162
0.00302138,0.916417,0.91655
0.00306012,0.919596,0.914925
0.00309885,0.911771,0.913287
0.00313759,0.906719,0.911637
0.00317632,0.908823,0.909974
0.00321506,0.899665,0.908297
0.0032538,0.889685,0.906609
0.00329253,0.893451,0.904907
0.00333127,0.899306,0.903194
0.00337,0.89282,0.901468
0.00340874,0.887363,0.89973
0.00344747,0.874151,0.897981
0.00348621,0.86921,0.896221
0.00352495,0.856829,0.89445
0.00356368,0.866434,0.892668
0.00360242,0.870142,0.890877
0.00364115,0.850759,0.889076
0.00367989,0.849092,0.887266
0.00371862,0.84988,0.885448
0.00375736,0.839952,0.883623
0.0037961,0.852801,0.881792
0.00383483,0.857148,0.879954
0.00387357,0.86601,0.878111
0.0039123,0.867309,0.876264
0.00395104,0.86134,0.874413
0.00398977,0.859522,0.87256
0.00402851,0.854331,0.870706
0.00406724,0.867073,0.868851
0.00410598,0.86804,0.866996
0.00414472,0.867169,0.865143
0.00418345,0.856367,0.863294
0.00422219,0.862787,0.861448
0.00426092,0.866264,0.859606
0.00429966,0.849914,0.857771
0.00433839,0.855496,0.855943
0.00437713,0.858996,0.854122
0.00441587,0.846484,0.852311
0.0044546,0.84477,0.85051
0.00449334,0.855355,0.848721
0.00453207,0.857954,0.846945
0.00457081,0.853935,0.845181
0.00460954,0.851811,0.843432
0.00464828,0.85555,0.841696
0.00468702,0.855886,0.839975
0.00472575,0.859957,0.83827
0.00476449,0.848452,0.836577
0.00480322,0.839539,0.8349
0.00484196,0.836303,0.833237
0.00488069,0.835022,0.831588
0.00491943,0.844721,0.829953
0.00495817,0.837563,0.828332
0.0049969,0.838635,0.826725
0.00503564,0.825543,0.82513
0.00507437,0.817006,0.823548
0.00511311,0.799447,0.821979
0.00515184,0.8098,0.820421
0.00519058,0.815668,0.818873
0.00522932,0.811066,0.817335
0.00526805,0.814715,0.815805
0.00530679,0.809392,0.814284
0.00534552,0.799565,0.81277
0.00538426,0.798043,0.811263
0.00542299,0.800423,0.80976
0.00546173,0.802791,0.80826
0.00550046,0.800188,0.806765
0.0055392,0.807536,0.805271
0.00557794,0.80908,0.803779
0.00561667,0.776426,0.802287
0.00565541,0.765967,0.800796
0.00569414,0.766726,0.799304
0.00573288,0.770196,0.79781
0.00577161,0.79292,0.796315
0.00581035,0.807612,0.794819
0.00584909,0.80005,0.793322
0.00588782,0.786735,0.791825
0.00592656,0.776596,0.790326
0.00596529,0.781482,0.788826
0.00600403,0.796853,0.787326
0.00604276,0.793836,0.785826
0.0060815,0.784952,0.784326
0.00612024,0.777056,0.782825
0.00615897,0.779617,0.781324
0.00619771,0.783894,0.779823
0.00623644,0.789659,0.778323
0.00627518,0.790174,0.776822
0.00631391,0.773919,0.775323
0.00635265,0.77084,0.773824
0.00639139,0.776374,0.772325
0.00643012,0.787777,0.770829
0.00646886,0.794704,0.769333
0.00650759,0.779707,0.76784
0.00654633,0.771617,0.766348
0.00658506,0.760456,0.764859
0.0066238,0.761323,0.763374
0.00666254,0.771342,0.761893
0.00670127,0.770203,0.760417
0.00674001,0.782212,0.758947
0.00677874,0.76353,0.757484
0.00681748,0.734175,0.756029
0.00685621,0.747179,0.754582
0.00689495,0.758009,0.753145
0.00693368,0.772545,0.751718
0.00697242,0.773084,0.750303
0.00701116,0.766031,0.748899
0.00704989,0.759861,0.747506
0.00708863,0.750593,0.746125
0.00712736,0.749622,0.744756
0.0071661,0.736932,0.743399
0.00720483,0.736686,0.742053
0.00724357,0.732541,0.740718
0.00728231,0.737221,0.739392
0.00732104,0.755135,0.738077
0.00735978,0.750876,0.736771
0.00739851,0.736651,0.735474
0.00743725,0.735341,0.734185
0.00747598,0.727763,0.732904
0.00751472,0.729299,0.731631
0.00755346,0.713169,0.730363
0.00759219,0.70371,0.729102
0.00763093,0.701727,0.727847
0.00766966,0.691249,0.726596
0.0077084,0.681936,0.725349
0.00774713,0.703044,0.724105
0.00778587,0.715035,0.722864
0.00782461,0.728101,0.721623
0.00786334,0.724533,0.720382
0.00790208,0.724291,0.719142
0.00794081,0.73279,0.717901
0.00797955,0.718631,0.71666
0.00801828,0.708572,0.715416
0.00805702,0.70476,0.714173
0.00809575,0.687194,0.712927
0.00813449,0.683453,0.711681
0.00817323,0.686474,0.710433
0.00821196,0.696469,0.709183
0.0082507,0.70112,0.707932
0.00828943,0.69197,0.70668
0.00832817,0.677465,0.705426
0.0083669,0.69032,0.70417
0.00840564,0.688718,0.702912
0.00844438,0.681238,0.701652
0.00848311,0.67467,0.700388
0.00852185,0.668676,0.699121
0.00856058,0.687067,0.697851
0.00859932,0.694878,0.696577
0.00863805,0.707036,0.695299
0.00867679,0.690657,0.694016
0.00871553,0.693733,0.69273
0.00875426,0.708811,0.69144
0.008793,0.700613,0.690148
0.00883173,0.719238,0.688854
0.00887047,0.719856,0.687557
0.0089092,0.717293,0.686259
0.00894794,0.685802,0.684959
0.00898668,0.673604,0.68366
0.00902541,0.685146,0.68236
0.00906415,0.665711,0.681061
0.00910288,0.662784,0.679762
0.00914162,0.668717,0.678464
0.00918035,0.67329,0.677167
0.00921909,0.659041,0.675871
0.00925782,0.688212,0.674576
0.00929656,0.695631,0.673281
0.0093353,0.647324,0.671987
0.00937403,0.639415,0.670693
0.00941277,0.665811,0.669398
0.0094515,0.666065,0.668103
0.00949024,0.660892,0.666808
0.00952897,0.667768,0.665513
0.00956771,0.67375,0.664217
0.00960645,0.6826,0.662921
0.00964518,0.694465,0.661625
0.00968392,0.692833,0.66033
0.00972265,0.705094,0.659035
0.00976139,0.699887,0.657742
0.00980012,0.674293,0.656449
0.00983886,0.695767,0.655157
0.0098776,0.70877,0.653865
0.00991633,0.686998,0.652573
0.00995507,0.668882,0.651281
0.0099938,0.677025,0.649987
0.0100325,0.654108,0.648694
0.0100713,0.63987,0.647398
0.01011,0.626023,0.646102
0.0101487,0.627788,0.644803
0.0101875,0.633187,0.643502
0.0102262,0.633911,0.642199
0.010265,0.632242,0.640892
0.0103037,0.642931,0.639581
0.0103424,0.641693,0.638266
0.0103812,0.630678,0.636945
0.0104199,0.649768,0.635618
0.0104586,0.663,0.634284
0.0104974,0.659556,0.632941
0.0105361,0.648415,0.631589
0.0105748,0.636113,0.630228
0.0106136,0.636646,0.628857
0.0106523,0.62091,0.627476
0.010691,0.594147,0.626086
0.0107298,0.595791,0.624686
0.0107685,0.609333,0.623276
0.0108073,0.60386,0.621857
0.010846,0.601275,0.620429
0.0108847,0.638862,0.618992
0.0109235,0.653955,0.617546
0.0109622,0.638364,0.616092
0.0110009,0.64503,0.614628
0.0110397,0.645844,0.613157
0.0110784,0.637359,0.611678
0.0111171,0.6197,0.61019
