% Model:              fff-holesurface-binding-with epi-new-111kb1e-2.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 22 2026, 15:21
% Q (L/min)              Time (s)                 N_bound (mol/m^2)
0                        1750                     6.776635260264213E-14
0                        1760                     6.760637216175662E-14
0                        1770                     6.744698061530717E-14
0                        1780                     6.728817608544715E-14
0                        1790                     6.713065099493357E-14
0                        1800                     6.697455943563452E-14
0                        1810                     6.681930459653593E-14
0                        1820                     6.666548555740202E-14
0                        1830                     6.651370435370962E-14
0                        1840                     6.63621989364133E-14
0                        1850                     6.621130823455507E-14
0                        1860                     6.606099218749618E-14
0                        1870                     6.591206225505588E-14
0                        1880                     6.576383229694394E-14
0                        1890                     6.561700923143884E-14
0                        1900                     6.547092044422474E-14
0                        1910                     6.532607292146056E-14
0                        1920                     6.518300577823234E-14
0                        1930                     6.50401841606589E-14
0                        1940                     6.489790849797033E-14
0                        1950                     6.475614192118278E-14
0                        1960                     6.461560330680564E-14
0                        1970                     6.447568545407702E-14
0                        1980                     6.433703978149392E-14
0                        1990                     6.419934046992267E-14
0                        2000                     6.406215630596038E-14
0                        2010                     6.39263396928029E-14
0                        2020                     6.379168973714295E-14
0                        2030                     6.365726118279617E-14
0                        2040                     6.352333608568646E-14
0                        2050                     6.338997896877878E-14
0                        2060                     6.325769510859008E-14
0                        2070                     6.312597803609005E-14
0                        2080                     6.299540038087149E-14
0                        2090                     6.28653025880622E-14
0                        2100                     6.273648948198122E-14
0                        2110                     6.260873838549552E-14
0                        2120                     6.248118204542055E-14
0                        2130                     6.235407365455737E-14
0                        2140                     6.222747619768716E-14
0                        2150                     6.210184600744699E-14
0                        2160                     6.197672765877634E-14
0                        2170                     6.18531192360402E-14
0                        2180                     6.173012416878022E-14
0                        2190                     6.160738758584722E-14
0                        2200                     6.148502327895191E-14
0                        2210                     6.136332949355921E-14
0                        2220                     6.124234937932504E-14
0                        2230                     6.112199292616601E-14
0                        2240                     6.100251378642935E-14
0                        2250                     6.088345689348515E-14
0                        2260                     6.076570282041137E-14
0                        2270                     6.064850001763546E-14
0                        2280                     6.053154009717094E-14
0                        2290                     6.041492506610028E-14
0                        2300                     6.029892406992863E-14
0                        2310                     6.018357633656819E-14
0                        2320                     6.006883151182046E-14
0                        2330                     5.995548870977159E-14
0                        2340                     5.984253758056454E-14
0                        2350                     5.972974012454547E-14
0                        2360                     5.961746210751323E-14
0                        2370                     5.950551920630926E-14
0                        2380                     5.939456475486355E-14
0                        2390                     5.928439862058352E-14
0                        2400                     5.917439070639366E-14
0                        2410                     5.906472936458757E-14
0                        2420                     5.895547402244397E-14
0                        2430                     5.884695631974733E-14
0                        2440                     5.87388391054934E-14
0                        2450                     5.86315110442189E-14
0                        2460                     5.85245155016808E-14
0                        2470                     5.841843856406056E-14
0                        2480                     5.831307773292938E-14
0                        2490                     5.82078585216927E-14
0                        2500                     5.810295259117308E-14
0                        2510                     5.799841837992736E-14
0                        2520                     5.789456133393088E-14
0                        2530                     5.779107319583938E-14
0                        2540                     5.768869203043187E-14
0                        2550                     5.758686947860153E-14
0                        2560                     5.748512899852333E-14
0                        2570                     5.738378338395125E-14
