% Model:              refresh-2_5-D_Cd_without_photobleaching.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 22 2026, 16:15
% Table:              Evaluation Group 5 - 
% Q (L/min)              Time (s)                 Dependent variable N_bound (mol/m^2)
0                        1760                     5.293487887412312E-13
0                        1770                     5.293492076909445E-13
0                        1780                     5.293496174042571E-13
0                        1790                     5.293499991019022E-13
0                        1800                     5.293503457492157E-13
0                        1810                     5.293506895095481E-13
0                        1820                     5.293510250442023E-13
0                        1830                     5.293513410624829E-13
0                        1840                     5.293516488275811E-13
0                        1850                     5.293519474008984E-13
0                        1860                     5.293522196577088E-13
0                        1870                     5.293524805919451E-13
0                        1880                     5.293527404602569E-13
0                        1890                     5.293529948024514E-13
0                        1900                     5.293532390301181E-13
0                        1910                     5.29353478865105E-13
0                        1920                     5.293537093998625E-13
0                        1930                     5.293539352108003E-13
0                        1940                     5.293541540055299E-13
0                        1950                     5.293543641163929E-13
0                        1960                     5.293545724238627E-13
0                        1970                     5.293547749582008E-13
0                        1980                     5.293549716013663E-13
0                        1990                     5.293551677345184E-13
0                        2000                     5.293553633789255E-13
0                        2010                     5.293555582001996E-13
0                        2020                     5.293557508922599E-13
0                        2030                     5.293559410703114E-13
0                        2040                     5.293561298015973E-13
0                        2050                     5.293563188322686E-13
0                        2060                     5.293565094575271E-13
0                        2070                     5.293567022113282E-13
0                        2080                     5.293568954696215E-13
0                        2090                     5.29357090163546E-13
0                        2100                     5.29357288546678E-13
0                        2110                     5.293574882145215E-13
0                        2120                     5.293576884712861E-13
0                        2130                     5.293578911684176E-13
0                        2140                     5.293580971397634E-13
0                        2150                     5.293583051873784E-13
0                        2160                     5.293585177242276E-13
0                        2170                     5.293587326330687E-13
0                        2180                     5.293589536499848E-13
0                        2190                     5.293591804449772E-13
0                        2200                     5.293594098948206E-13
0                        2210                     5.293596486666401E-13
0                        2220                     5.293598908234798E-13
0                        2230                     5.293601344782305E-13
0                        2240                     5.293603836706326E-13
0                        2250                     5.293606401397261E-13
0                        2260                     5.29360900338729E-13
0                        2270                     5.293611686299184E-13
0                        2280                     5.293614410115316E-13
0                        2290                     5.293617224351633E-13
0                        2300                     5.293620091043059E-13
0                        2310                     5.293623043893278E-13
0                        2320                     5.293626182597114E-13
0                        2330                     5.293629357705182E-13
0                        2340                     5.293632547649883E-13
0                        2350                     5.293635798627092E-13
0                        2360                     5.293639157689341E-13
0                        2370                     5.293642566122384E-13
0                        2380                     5.29364608586132E-13
0                        2390                     5.293649667617649E-13
0                        2400                     5.293653360077792E-13
0                        2410                     5.293657206602138E-13
0                        2420                     5.293661094101919E-13
0                        2430                     5.293665109411028E-13
0                        2440                     5.293669328671743E-13
0                        2450                     5.293673575635422E-13
0                        2460                     5.293677875940867E-13
0                        2470                     5.293682317626796E-13
0                        2480                     5.293686834609599E-13
0                        2490                     5.293691441500096E-13
0                        2500                     5.293696307898762E-13
0                        2510                     5.29370126639845E-13
0                        2520                     5.293706246921614E-13
0                        2530                     5.293711286410901E-13
0                        2540                     5.293716494024695E-13
0                        2550                     5.293721938187183E-13
0                        2560                     5.293727598546883E-13
0                        2570                     5.29373330711098E-13
0                        2580                     5.293739036921518E-13
0                        2590                     5.293744823441773E-13
0                        2600                     5.293750719921994E-13
0                        2610                     5.293756942758001E-13
0                        2620                     5.293763324358598E-13
0                        2630                     5.293769724717308E-13
