% Model:              fff-holesurface-binding-with epi-new_kb5E-2.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 24 2026, 15:21
% Q (L/min)              Time (s)                N_bound (mol/m^2)
0                        2910                     1.1391166692779839E-14
0                        2920                     1.1370809309695024E-14
0                        2930                     1.1350511260552668E-14
0                        2940                     1.1330271680803295E-14
0                        2950                     1.1310163249229919E-14
0                        2960                     1.129011962436503E-14
0                        2970                     1.1270260480006727E-14
0                        2980                     1.1250512628472729E-14
0                        2990                     1.1230792590050578E-14
0                        3000                     1.1211126259547133E-14
0                        3010                     1.1191532358869768E-14
0                        3020                     1.1172054763782753E-14
0                        3030                     1.1152676142124184E-14
0                        3040                     1.1133365323113835E-14
0                        3050                     1.1114244980882592E-14
0                        3060                     1.109518165420837E-14
0                        3070                     1.1076158793900462E-14
0                        3080                     1.105718175545721E-14
0                        3090                     1.1038302240347645E-14
0                        3100                     1.1019504460659746E-14
0                        3110                     1.1000798707322687E-14
0                        3120                     1.0982195206438318E-14
0                        3130                     1.0963654587363811E-14
0                        3140                     1.0945291845555905E-14
0                        3150                     1.0926982933397781E-14
0                        3160                     1.0908712290052821E-14
0                        3170                     1.0890484930039783E-14
0                        3180                     1.0872349629263799E-14
0                        3190                     1.0854291492044129E-14
0                        3200                     1.0836320630971179E-14
0                        3210                     1.0818463632577687E-14
0                        3220                     1.080066231169708E-14
0                        3230                     1.078294120727106E-14
0                        3240                     1.0765377274643094E-14
0                        3250                     1.0747840763198115E-14
0                        3260                     1.0730349386941977E-14
0                        3270                     1.0712899136229214E-14
0                        3280                     1.0695550942734532E-14
0                        3290                     1.0678260474283186E-14
0                        3300                     1.0661071572041324E-14
0                        3310                     1.0643949642426168E-14
0                        3320                     1.0626908362849504E-14
0                        3330                     1.0610019765732442E-14
0                        3340                     1.0593156545207569E-14
0                        3350                     1.0576335283931192E-14
0                        3360                     1.0559552680874586E-14
0                        3370                     1.0542866441482159E-14
0                        3380                     1.0526234780998116E-14
0                        3390                     1.0509716962680233E-14
0                        3400                     1.0493324143865597E-14
0                        3410                     1.0476948313402064E-14
0                        3420                     1.0460615321003743E-14
0                        3430                     1.044432532317172E-14
0                        3440                     1.042813201794565E-14
0                        3450                     1.041198659791767E-14
0                        3460                     1.0395942280877545E-14
0                        3470                     1.037994459084864E-14
0                        3480                     1.0364047643183285E-14
0                        3490                     1.0348265540587103E-14
0                        3500                     1.0332500132830512E-14
0                        3510                     1.031677613808296E-14
0                        3520                     1.0301093071185793E-14
