frame,id,lobeDist,intensity[photon],offset[photon],UncertaintyX,UncertaintyY,UncertaintyZ,x[nm],y[nm],z[nm],Probe
1,1,6.8079641361289,6151.4005363117,24.4884117433401,10.0385370452718,10.2301657400957,15.4165230549242,34409.3738243452,19260.1387784879,-483.52863678011,0
1,2,6.52783428530119,2617.64705850227,24.5836594775744,17.8685870936853,18.5136165659346,27.5252173536543,28325.2810192536,18556.3157065308,677.447230295494,0
1,3,5.59394783382074,3294.7978559322,24.8677049918852,15.2473397723295,15.7247389041383,23.4672736059495,32725.2092868054,22467.6713757269,-70.9439524220723,0
1,4,5.73783443431,1748.23461754296,25.1184697132812,24.0951253556135,25.2082602372673,37.1838606411617,29047.7127315911,22664.9850751985,182.999615318545,0
1,5,11.7375363328571,5702.28655060755,24.624630871449,10.5501251970734,10.7663683966365,16.2062920827687,33078.2948828739,17801.987020263,-1314.41552420261,0
1,6,10.5978447693418,3830.427720603,26.1005646874109,13.874735733023,14.2795541765638,21.3465344170596,30996.5716960847,32712.1482754076,-928.847242781786,0
1,7,5.51323774829752,3514.35860637667,24.6981996537756,14.5674003449445,15.0017139421348,22.4147700667216,32165.3252968617,18157.1080068366,-58.1117861146599,0
2,8,5.36824545982804,3889.72507238706,24.5396299282267,13.5802446272251,13.9552603384542,20.8876088101552,34040.1326799959,18390.9908793519,-74.5674596115526,0
2,9,6.30362856455958,3125.06002050227,24.5836594775744,15.7808607198105,16.2889070590355,24.2922593755624,28314.3603931524,18599.14036507,670.400378971038,0
2,10,5.69053805688549,1546.80684754296,25.1184697132812,26.4267327369498,27.7282970634243,40.8043587354422,29058.4175830677,22672.9970692756,180.382961166998,0
3,11,5.41430726178951,3459.45266875526,24.5671753834441,14.7108653019776,15.1526421794111,22.6363965091013,34038.4372974781,18407.5502751998,-40.5883559146023,0
3,12,6.37317702774976,2663.4462770119,24.6287607710123,17.6571531463638,18.288375469785,27.1978183224836,28352.8104631857,18708.6727685918,529.031033327775,0
3,13,5.84772083388047,741.758539020551,25.1233971610104,47.4896651175816,50.7075788831222,73.5720582328787,29106.6801676899,22689.1892373691,205.767310786028,0
4,14,5.53103935067514,3370.42357675526,24.5671753834441,14.9764486766046,15.4343579393674,23.0473110287102,34010.2739415373,18398.6912270486,-58.0365877730176,0
4,15,6.29158953162147,2649.9002870119,24.6287607710123,17.7209938416412,18.356532497689,27.2967142860563,28355.5055719112,18711.4393696521,537.391338755339,0
4,16,5.24140021845828,3213.51457865127,25.0605751562001,15.5360107139442,16.0332764903122,23.914551454956,32446.079677113,23837.5816345412,-438.067331719209,0
5,17,5.3540816015148,3260.62396675526,24.5671753834441,15.3219851206971,15.8011586993248,23.5820057091426,34008.1886612296,18405.5578778064,-94.193950941887,0
5,18,5.21038906136985,3643.74843665127,25.0605751562001,14.2498540694892,14.6683428710499,21.924411879614,32430.8140701417,23834.6167144882,-449.140063916363,0
6,19,5.53156802052521,4145.32845360587,24.6953188373217,13.0247145056804,13.3695840169682,20.0290728297872,33088.5626502406,18991.7417975118,-132.473118903642,0
6,20,5.14110357584358,4212.43773065127,25.0605751562001,12.9175012274573,13.25918256991,19.8641066545983,32427.8121561496,23830.9815244824,-451.054851105486,0
7,21,5.31858263886781,3461.72951760587,24.6953188373217,14.7184222821527,15.1618186497143,22.6484084954174,33071.1554754434,18995.1713567498,-110.075126041523,0
7,22,5.53143377992114,6094.60348265127,25.0605751562001,10.132120552592,10.3311594049048,15.5617977094213,32422.9233600589,23848.4251486455,-423.885141369968,0
7,23,5.69027997881768,5448.41941902575,25.1805170869439,10.9036798620094,11.1403189700605,16.7530292238116,33230.3034988585,25234.3332063319,-390.709960467914,0
8,24,5.33291883896954,4701.34885265127,25.0605751562001,12.0051974593477,12.2973436562336,18.4541883709093,32440.2494425819,23839.1300935133,-427.462518513477,0
8,25,10.2412093680954,4413.12387502757,25.1509152012613,12.5288219626019,12.8497358619559,19.2635164551436,33045.3553435008,24886.529600179,-376.533941150636,0
9,26,5.28187933587588,4182.28413665127,25.0605751562001,12.9799629719712,13.3251293940696,19.96066367728,32421.8789782148,23819.2955426535,-420.195882049723,0
