frame,id,lobeDist,intensity[photon],offset[photon],UncertaintyX,UncertaintyY,UncertaintyZ,x[nm],y[nm],z[nm],Probe
2,1,9.1276831070533,2328.65463346191,25.0233916489095,19.5016392165556,20.2660164965778,30.0574536733887,27614.0075125594,23188.1884694771,-1339.22319034795,0
3,2,8.95133957830203,2138.65835746191,25.0233916489095,20.7429272017246,21.5976344419317,31.9821153834422,27615.1183167518,23178.7093508054,-1224.86835683002,0
4,3,8.76984453338132,2278.12698946191,25.0233916489095,19.8130155839566,20.5997840542999,30.5401793778868,27612.527961686,23175.2709388995,-1361.50905616001,0
6,4,9.38206988817912,2552.21853346191,25.0233916489095,18.2611689661083,18.9382284340095,28.1348800401184,27599.9170511707,23158.4347597312,-1297.4468415745,0
7,5,9.43097220402433,1982.47199146191,25.0233916489095,21.9277996222089,22.8712697952977,33.8200103267831,27591.0308303684,23175.5684989162,-1308.35474910216,0
8,6,9.42816700662954,1845.80066146191,25.0233916489095,23.1172524662522,24.1521285417177,35.6656534831706,27605.2349559232,23166.7376134149,-1364.66532516735,0
9,7,9.15778817478955,2511.66866746191,25.0233916489095,18.4710404037533,19.1626546139603,28.4600939947381,27597.785188008,23175.0049967583,-1340.38702100475,0
10,8,8.93106304618825,2399.19459302356,24.9329319521956,19.0721679809203,19.804852176379,29.3914234341983,27587.5541773187,23163.3257516141,-1270.17368016345,0
17,9,5.65442247889352,3762.86442373554,23.2883348360699,13.7610053434514,14.1357455556499,21.1641826556417,25632.7420789051,16091.4976911319,170.273962524492,0
18,10,7.49724756277198,4064.0560092163,23.2168919134057,13.0610358271298,13.3961853995277,20.081980968594,24951.4608327565,16651.6401760625,1163.8713565073,0
19,11,7.7780749456464,4119.94029373826,23.1847349317639,12.9395024826024,13.2677737356172,19.8940804283425,24971.8994452201,16619.3664784148,1100.09513947013,0
20,12,7.1771175269525,3662.0638218554,23.6733826892687,14.0564155406829,14.4514675775417,21.6218998058991,24088.4724709398,18972.128660489,1168.21208336376,0
20,13,6.12532890603037,4552.89928772412,23.449706729324,12.131800987702,12.4191939618736,18.6466390231061,25553.7718422676,16158.1685305028,157.78042560965,0
21,14,7.83514015120718,3257.58310135677,23.3523075861212,15.1863213262546,15.6453536624302,23.3688263958524,24683.3895570339,16993.9908315129,1087.71150545327,0
21,15,7.81577023824746,3534.06463172412,23.449706729324,14.375558427429,14.7871804141817,22.1149074206174,25463.7495745179,16244.2516739058,246.482916071465,0
24,16,7.92752374546062,2761.50171427319,23.4025217096813,17.0353285808993,17.6112963464869,26.2309078074927,24705.6812152659,16983.7138681191,1115.06250722666,0
25,17,7.87597326282156,2967.84128227319,23.4025217096813,16.2009269107689,16.7233252287672,24.9391162214709,24702.7709115438,16987.3001494893,1051.92583590064,0
26,18,7.34275420456801,2022.14476135677,23.3523075861212,21.2684569148309,22.1381905900581,32.7905660749662,24683.9300043176,16956.1466684356,1123.63294621161,0
31,19,9.76373251133994,1877.43966656449,21.9454706815215,22.1340187527935,23.0455284202945,34.126802642013,26622.3127637897,8836.90246557154,-1201.09998291947,0
33,20,9.63785751170758,2125.21220097145,21.9971939694827,20.2465933113573,21.0225115379026,31.2007685659551,26644.8171113926,8866.52511623937,-1228.95189336852,0
42,21,10.4315427795193,4066.68758689853,24.9932336524428,13.2208830918382,13.5790768145301,20.3329775085997,30709.8363137136,16462.3699615186,-1105.36796863987,0
43,22,8.77994307542804,3133.1795191867,24.512768713248,15.7436931225675,16.2486908889709,24.2345353407229,25455.0647271068,24174.9770692516,-1204.72010428351,0
43,23,10.000361911598,4053.78035089853,24.9932336524428,13.2492333502337,13.6090315656179,20.3768092088992,30713.9392996741,16465.6657265978,-1115.31932043603,0
43,24,4.7574401208484,2701.30035942086,24.9805062483282,17.5332485789147,18.1600684713147,27.0069720114938,31757.529038868,16495.8839602244,732.527435692855,0
44,25,8.82871327216576,2589.0271891867,24.512768713248,17.9975883780496,18.6505738744598,27.7248430086753,25448.3384691544,24200.3075635085,-1222.99150294839,0
45,26,9.14976586739285,3034.1726491867,24.512768713248,16.0987576874366,16.6262801592925,24.784159401265,25430.1253845978,24187.7250716422,-1225.58785773531,0
46,27,9.29360939170637,3253.2872971867,24.512768713248,15.3393557814371,15.8190841606714,23.6087440069152,25473.9573830058,24181.2450178797,-1227.54095346637,0
47,28,9.05397106072645,2983.4467711867,24.512768713248,16.2889523660254,16.8286664435266,25.078606912742,25463.9121707552,24195.936575535,-1224.17628129635,0
54,29,10.0959047283768,2762.09670476015,21.6914419101248,16.7802113294483,17.3198179140842,25.8304404388272,24282.7287239237,9189.61415713079,-1170.51823719666,0
55,30,9.99134761967863,2765.90180554846,21.6345016288812,16.7556833631951,17.2930617390891,25.7922870915785,24240.6704964891,9134.93408592073,-1120.2385487626,0
56,31,9.67516487375309,2493.8745081782,21.6609109860722,18.014996488288,18.633850849397,27.7420844347458,24283.1364701199,9134.30984053185,-1103.13667606855,0
71,32,8.81803731168386,4088.90802943157,24.0041908991148,13.0814368631635,13.4240453959692,20.1152613592599,31415.5836879702,14842.0944415811,-1442.32591380032,0
73,33,7.72025128166953,6439.86255419936,24.4168486857828,9.74408215761331,9.92206414686425,14.9620983738173,25632.727936844,20197.2934434058,-1481.88637789906,0
74,34,10.3707589894574,4149.07326297433,24.4414709825804,12.9938671296812,13.3350577867725,19.9808472793725,27833.6020363622,17113.7884767852,-1134.13094540329,0
74,35,8.237709194579,6154.16138907185,24.4602855534835,10.0340043871766,10.2252733446837,15.4094865287727,26094.8989566164,19545.0004360238,-1376.28464677824,0
75,36,7.54987478558366,4394.45866163516,24.5898060540041,12.5169907639994,12.8331775645835,19.2441052005543,26124.8734882779,21051.332295542,1229.74814479707,0
75,37,9.71970611641371,4978.11538080262,23.2062087462637,11.422163211542,11.6718291032002,17.5501464667424,33072.3309940861,13218.8284596642,-1282.46961536981,0
76,38,10.1762656447944,3796.8393294833,24.402819366758,13.7904959564954,14.1764630936971,21.2124121065411,27835.9189124445,17063.578751573,-1138.83346329395,0
77,39,9.17894824001353,2303.19705669353,22.2100236067725,19.1554794660741,19.8584457171148,29.5107415030825,25847.793568658,10180.5621020752,-1250.87506826474,0
78,40,10.1742927683504,3230.83134897434,24.4414709825804,15.4043295691099,15.887401077426,23.7091060745918,27827.2621301333,17119.2153239026,-1115.06853426107,0
79,41,10.1735329039737,4149.8500314833,24.402819366758,12.9887340843281,13.3293402778132,19.9728301163275,27872.2739141138,17120.4164701764,-1169.16249517715,0
80,42,10.6904000259378,4298.51118499604,24.2049872202311,12.6692242598434,12.9907935362994,19.4785788423985,27850.4158346892,17063.5386948095,-1178.76140876141,0
81,43,10.504992884005,3677.11367299604,24.2049872202311,14.0730011830276,14.4736772868164,21.6488337913826,27852.1714488042,17126.34514584,-1106.03921340875,0
82,44,10.3929685175843,3739.38117499604,24.2049872202311,13.9135867349282,14.3049936997032,21.4022990012053,27849.5318318598,17098.2071809332,-1121.14857821794,0
83,45,9.96647410994528,3309.21339499604,24.2049872202311,15.124174391856,15.5877035367799,23.2749505590459,27836.1143798022,17085.8457245582,-1087.9011063063,0
84,46,10.5646925371698,2813.91473299604,24.2049872202311,16.9265012491269,17.5043425666468,26.064865513741,27848.4091249261,17101.9184259084,-1079.30797555665,0
85,47,10.2690818431634,2684.73224299604,24.2049872202311,17.4953241436645,18.1108317734441,26.9458133958368,27819.5717917155,17116.7731781319,-1085.60205229631,0
86,48,9.01210634793324,3402.78704695479,24.233328195657,14.8406377815276,15.2871869488685,22.8363254820693,30283.9523913126,16093.0914864994,-1442.10304389099,0
100,49,8.88133101363596,2574.61617194448,24.4492216147199,18.0591976501354,18.7156397768367,27.8200870290204,30519.0870913846,17714.2833556636,-1356.96679220221,0
101,50,8.84368451008873,2699.22553387733,24.471718662394,17.4683051453965,18.0850397202845,26.904799266173,30492.4256898322,17762.1290869131,-1327.9244687558,0
102,51,9.13108717300609,2930.20391594448,24.4492216147199,16.4865088920556,17.0383086023317,25.3842924027726,30509.0803986626,17719.540914865,-1295.44571991703,0
103,52,8.80830084812596,2794.79634787733,24.471718662394,17.0454127614476,17.6340107426377,26.2498201828238,30492.6989865627,17743.8957446581,-1356.80234934521,0
