frame,id,lobeDist,intensity[photon],offset[photon],UncertaintyX,UncertaintyY,UncertaintyZ,x[nm],y[nm],z[nm],Probe
32,1,9.42366773767736,4933.77216254368,23.1110038697724,11.4818899130986,11.7338640433729,17.6421934986396,33402.9085561143,15999.2426898383,-1224.0057232401,0
32,2,5.04266885710116,3723.00270212499,23.2858146532192,13.8599736586301,14.2403207562202,21.3171968867462,34425.475987564,15936.8252750136,682.660605673108,0
33,3,9.92176628025686,4674.74640254368,23.1110038697724,11.8949973498762,12.1677415435659,18.2801751985092,33377.426631027,15985.7007979197,-1214.17792646352,0
33,4,7.85827467485256,3478.18371212499,23.2858146532192,14.5138875909366,14.9321109354486,22.3284363332581,34264.5956762642,15556.5563133469,172.887323727446,0
34,5,9.35294128283058,4084.27339454368,23.1110038697724,13.007852632006,13.3392399449712,19.9995478775513,33410.262545111,15991.841028072,-1246.13241229356,0
62,6,6.25602908045255,2045.34098192197,22.244414006579,20.8639452702066,21.6875828337655,32.1587628697715,23818.3521697883,24733.1767236311,868.75136501592,0
63,7,7.23325037747643,2966.62673290085,22.1035727988385,16.0292567471501,16.5267582950473,24.6695203535714,23432.776668354,23970.6821989365,1078.00320980982,0
64,8,7.38921947459018,2807.64306490085,22.1035727988385,16.6514981120862,17.1878473218895,25.6325499648017,23463.3341178117,23971.1077898201,1107.67625369495,0
65,9,7.19769031636803,3077.88412248651,22.0827981955524,15.625811128735,16.0984037577737,24.0451926648946,23450.3487251259,23948.0445170346,1085.24609896919,0
66,10,7.35850123660422,3301.00343890085,22.1035727988385,14.8987909223905,15.3281597414953,22.9205937960206,23498.2989139895,23960.7518177034,1137.46287879919,0
66,11,7.61376669462776,2349.18625938839,22.3163550672107,18.9072406077973,19.5946598344322,29.1265338337746,24040.3031842709,23224.8047084129,-7.9350621121208,0
73,12,7.17491155411061,2125.15789807446,22.1112164338599,20.2697875934107,21.0490359123142,31.2371845927475,25447.8496555126,21477.9106202902,1006.65884382799,0
