frame,id,lobeDist,intensity[photon],offset[photon],UncertaintyX,UncertaintyY,UncertaintyZ,x[nm],y[nm],z[nm],Probe
1,1,5.89867031909433,3041.86930319161,38.4162763644771,17.7045111986101,18.4665017224895,27.3063494223134,23560.2486890264,32820.0441686187,60.3810536028527,0
1,2,6.10018611510357,2155.14380586561,37.2793819586661,22.7645089097374,23.9219600197789,35.1597285490841,29662.0131327289,25057.722877582,-911.494770775196,0
2,3,5.71044937523735,2648.66115119161,38.4162763644771,19.6216555555271,20.532708997616,30.2816199887109,23529.6053986223,32788.01283863,88.7798427134567,0
2,4,5.9652818888893,2044.85968560417,37.3119836529222,23.7091198448726,24.9466751772663,36.6275772048022,29667.89433286,25040.8873426116,-892.619848585763,0
3,5,5.86617685699009,1805.23883160417,37.3119836529222,26.1247653071163,27.5712694175234,40.3824717310849,29633.8524274877,25073.7411164243,-783.517123657674,0
4,6,5.46725049583766,1609.80207186561,37.2793819586661,28.594225995499,30.2602931612951,44.2227318646827,29631.3506568794,25028.2728238449,-901.21273830215,0
5,7,5.33121753353908,1988.40207783699,35.6888142498356,23.9360754459054,25.1754714812933,36.9754177193186,19828.7907999732,22907.9196334927,-542.499506672052,0
5,8,5.73370064863265,1769.55664986561,37.2793819586661,26.5311531014481,28.0130679999186,41.0142408474717,29655.0953629936,25019.6913671138,-826.219026370731,0
6,9,5.36470116287426,1525.61379183699,35.6888142498356,29.460856812298,31.1849955972122,45.5651439176857,19815.3067571886,22934.3626763335,-579.653449829011,0
6,10,5.50367864578335,1729.46250874128,37.28455784737,27.0156248775864,28.540477248005,41.7676022786202,29673.9205697861,24972.9653358595,-931.038415077715,0
7,11,5.53704494758567,2103.57603183699,35.6888142498356,22.9233954799363,24.0776991693045,35.4020159670861,19809.7754128308,22918.3712018169,-548.847306166621,0
9,12,7.61370723778275,1295.36292112008,38.2335290111152,34.3531837810913,36.5648370824074,53.1880819809509,23393.448988971,31482.0921636176,1214.72118153138,0
10,13,5.39099584680953,2450.16820911562,37.1511244175508,20.6302408017831,21.6108977865002,31.8444441202519,30944.8874700058,24815.4607663796,-330.436374866015,0
10,14,6.29770719821292,1251.54559007875,35.8520706387925,34.6174747155195,36.8203589297897,53.5900433816,21446.3623568996,22618.4215005676,-908.401773940305,0
11,15,5.50631332409389,2619.15168111562,37.1511244175508,19.6229706481571,20.5232680815485,30.280658995707,30970.5766321876,24811.5028965609,-255.499514820129,0
11,16,5.40990333146896,1699.53977561553,38.5393952521445,27.6570703993372,29.2537479432895,42.7692388820467,26251.0489886947,31061.7321515814,-253.378882207283,0
11,17,5.52881975179838,1657.02222407875,35.8520706387925,27.6286635904576,29.1906603214511,42.7161011609258,21485.1844051624,22566.7445321505,-793.09660848852,0
12,18,5.55116912066189,4482.48989961196,38.53571403476,13.4095042563455,13.867111363445,20.6490477347102,26340.8997926588,30962.9542668662,-123.527001605001,0
12,19,5.16398232538546,2443.78066911562,37.1511244175508,20.6708825904815,21.65481702198,31.9075503141112,30900.7131519236,24805.3549478969,-308.534071186409,0
13,20,5.79914167775495,5235.5083432763,38.5002930864342,12.0362555264679,12.4064996756425,18.523252071416,26463.4262436064,30844.7761896258,59.3612987323006,0
13,21,6.67755724913104,3947.55538691106,37.1083335899602,14.5534804761172,15.0791482612997,22.4186294618671,14695.7401387359,35845.6180276433,918.487771996642,0
14,22,5.91725337244051,3056.6743972763,38.5002930864342,17.6504536299686,18.4089769087813,27.2226595094238,26461.1546321641,30836.4169691654,130.42962655318,0
14,23,6.6757690288161,3386.01813985291,37.4930720456467,16.2807944449021,16.9303796840077,25.0963920721959,30187.2672603695,26768.739696945,979.136683531912,0
14,24,5.84439727333007,1579.59971849192,35.8713923393347,28.7000698412306,30.3580169983527,44.3824407072593,21520.0159536429,22599.1904688774,-845.871960785405,0
15,25,6.84333183509703,3780.22662961194,37.5138732408092,15.0434569751616,15.6053734681383,23.1785150275886,30171.2797081171,26786.1102858197,958.210472419844,0
16,26,6.67741504420735,3178.07984161194,37.5138732408092,17.0504195775229,17.7565574834144,26.2898751667655,30198.518512477,26781.9147846477,982.797951333078,0
16,27,7.19063928386928,3505.53352044517,36.9356308498201,15.8257422565392,16.4387749134847,24.3898707452296,14580.0976249767,36515.1957862787,-1440.62549942976,0
17,28,6.8098696368553,3571.82947585291,37.4930720456467,15.6652884653274,16.2707374831336,24.1422100086768,30168.6002609803,26771.5634477682,1004.59652143426,0
17,29,7.47640314514704,3474.45821567597,36.2769679476825,15.8647635645505,16.4759564216225,24.4490848704299,32571.185351096,35947.3611385609,1183.89662902335,0
18,30,7.47021024837129,3695.51115167597,36.2769679476825,15.1796814235354,15.7429121172663,23.3873657912529,32562.2576618131,35972.3522701487,1107.98539682834,0
18,31,6.41981637944987,2670.95321761194,37.5138732408092,19.3844786444003,20.269113628688,29.9113317200411,30181.3366687638,26788.3744753785,951.625756941421,0
19,32,6.0659633364086,1889.84031930254,37.1949842546266,25.183015437074,26.5459747200176,38.9180234704592,31798.4160207315,25604.2328838479,448.391313034069,0
