frame,id,lobeDist,intensity[photon],offset[photon],UncertaintyX,UncertaintyY,UncertaintyZ,x[nm],y[nm],z[nm],Probe
1,1,6.55956965677078,7426.99806343955,33.1836468775802,9.29135703819344,9.48738829654632,14.2742136908152,25609.3715122309,36623.6060871222,808.716616704589,0
1,2,6.26565798195936,5949.6784862072,32.9866177173006,10.7408902500195,11.0103098799337,16.5129349978536,28719.3546780824,33881.1798413345,699.496391389574,0
1,3,6.7784445866854,3657.47639212175,33.4038645975172,15.02924887214,15.5623427664515,23.1488296717023,28941.5881763038,23184.7463726263,820.623169590007,0
1,4,7.86602053697258,5517.02959174003,33.0476176345012,11.3006406792445,11.6010770946937,17.3781718003884,25372.5927075601,22454.1537638112,1104.17477583258,0
1,5,5.4796995289389,1233.37859805279,30.1667433334612,33.2057481138836,35.1866162472951,51.3676066778038,23049.5211262298,16473.1850319499,-285.963675139262,0
1,6,6.69686386648151,5835.76700923059,33.2548620839287,10.8949652885387,11.1740050008873,16.7513960277817,29106.8734292999,32467.2327243138,878.516302286716,0
2,7,6.41664413763431,10794.7734634395,33.1836468775802,7.32014649234391,7.42911649066027,11.233280291407,25601.3534225898,36620.6811537604,797.078281306005,0
2,8,7.51022350263989,5826.45083974003,33.0476176345012,10.8951645094859,11.1732290595317,16.751431946939,25339.5726077722,22513.6287005028,1187.35591576544,0
2,9,6.56870384547918,5653.9794362072,32.9866177173006,11.1128090520378,11.4025113955436,17.0877405528631,28749.3053810719,33871.3502695275,687.574060160771,0
2,10,6.38973848579168,10691.3247041423,34.1404588269043,7.39108126667216,7.50549426144265,11.3433502266412,24889.4251247058,34985.9898572683,-1139.87872644265,0
2,11,6.78239078070512,3659.94330412175,33.4038645975172,15.0220914973908,15.5547044499148,23.1377429658894,28953.5461510344,23213.7573928651,838.529385360436,0
2,12,5.70064707071606,1300.82221005279,30.1667433334612,31.8227438866024,33.6780684399402,49.2161531180638,23044.9465462865,16488.2369893707,-304.320049192825,0
2,13,10.7323144648753,6467.97976544205,33.9895837629536,10.2115337822297,10.4572851555282,15.6962407816682,27948.1032789567,32139.702847247,-1288.51230372213,0
2,14,8.44296029410377,5981.90903311582,33.514557297476,10.7305832448953,11.0019027953409,16.4976845697919,26991.2738709684,21036.8506971357,825.16610384111,0
3,15,6.6847917644054,10799.7953914395,33.1836468775802,7.31801645676024,7.4269020436862,11.2299969974436,25604.2378505065,36607.7397094981,799.351114466958,0
3,16,6.54316460074941,11345.6343913035,34.3416888412968,7.12640863439723,7.23079258140346,10.9355042449685,24502.5504652998,34352.8439682154,302.895660372453,0
3,17,7.60908815920103,5507.69213195478,32.9673689504938,11.3087842436556,11.609273106149,17.3906497703042,25309.5595864663,22534.6912876364,1240.60483745088,0
3,18,5.46419113272808,3806.38480689867,33.1680738907615,14.5914820104739,15.0937755780203,22.4703517606521,29149.6012534074,32420.6464772156,-696.612773187928,0
3,19,6.57378467105756,3263.54138212175,33.4038645975172,16.2987278304264,16.9191334021365,25.1157959574177,28947.264240719,23222.5867148445,840.220325448529,0
3,20,6.13897760661852,4153.48018032079,33.2403678385041,13.7342547524812,14.1814958908779,21.1432175933789,27398.5477920254,20279.636790654,-245.706350720255,0
4,21,6.38805077406144,12075.8743214004,34.3431267422798,6.85485931193304,6.94876485769531,10.517008717494,24521.5888876374,34329.3212345982,373.344940110922,0
4,22,7.5104362459253,4959.75132995478,32.9673689504938,12.1386093048409,12.4866130390472,18.6737745954057,25305.3487975535,22511.7479019138,1205.43531450946,0
4,23,6.73666282775156,8667.98695543955,33.1836468775802,8.41016315413629,8.56514217173135,12.9142343270097,25592.292939755,36629.5073569096,795.644515288054,0
4,24,7.91438498808309,4746.6361749253,34.6564512751401,12.6239258650063,13.0103496821526,19.4271273771811,24935.1124098841,31807.5178256319,-1411.64285311336,0
4,25,6.82841278704346,2508.60023212175,33.4038645975172,19.74357108305,20.6187439602802,30.4582894033119,28967.3238179819,23197.6469523979,740.134570948147,0
