frame,id,lobeDist,intensity[photon],offset[photon],UncertaintyX,UncertaintyY,UncertaintyZ,x[nm],y[nm],z[nm],Probe
1,1,6.62432688166862,7445.28190083919,36.2107152680538,9.40132127875828,9.61406237349285,14.4471256810786,23598.1545593134,39444.0133839131,828.598662156417,0
1,2,5.90811705695208,5367.85602150342,37.8272305319593,11.7929692327092,12.1452329290523,18.145953661034,18970.2840948705,35266.5238199752,231.304388092599,0
1,3,6.20524493994883,3420.51791099386,35.2245206926245,15.9413925112429,16.5504413159056,24.5657728219967,18999.9021411269,20590.7349490215,188.019227903463,0
1,4,5.83618482031124,3930.60817029784,35.9393290660194,14.5010821922741,15.015812428663,22.335422013606,20963.3186291004,16312.0218193637,303.86071976474,0
2,5,6.65824515853648,7666.92953883919,36.2107152680538,9.22236207564996,9.42612438953024,14.1707555331463,23611.5079234869,39427.0973641934,833.162218457602,0
2,6,7.40094864581492,5893.70159842584,37.6885209020976,11.0588014348785,11.3671882355542,17.0102347604215,18382.652813773,34286.3553752639,218.712473008593,0
3,7,6.71169682354814,7881.00023283919,36.2107152680538,9.05797195458513,9.25360303527074,13.9169166182325,23607.6814038815,39429.4646160777,834.236306537999,0
3,8,7.05499583061046,6007.77425242584,37.6885209020976,10.916403207376,11.2166238553018,16.7900467149014,18392.9123441349,34332.6508331685,224.319698645886,0
3,9,6.62362100053712,4729.40561938166,36.9874843996199,12.8134265133468,13.2243320047315,19.7238982976867,18390.274751903,27733.1598882387,818.43128300878,0
4,10,6.55789430787392,9000.69194283918,36.2107152680538,8.31135776460351,8.47151089971024,12.7644485538208,23600.7255863407,39429.2112676242,841.311895472434,0
4,11,6.84819939704905,7112.00371042584,37.6885209020976,9.75145703612746,9.98767628815729,14.989477700613,18403.4228057488,34374.2755422081,255.568411345755,0
5,12,6.64798534332035,9691.73566683919,36.2107152680538,7.92674364835537,8.06958700450039,12.1710259966405,23588.4829437416,39424.3096347787,828.875881209202,0
5,13,6.3657735887125,5353.05140242584,37.6885209020976,11.8072784731664,12.1597461920565,18.1679098736395,18443.4089731502,34404.0282541231,278.830522774029,0
5,14,6.05667529481608,1127.38117629784,35.9393290660194,37.7553527559373,40.2578611639543,58.4757404316584,20922.5381115858,16276.5472844295,206.869565088893,0
5,15,4.19656255812259,9483.20916114583,36.6901960461871,8.05245753329755,8.20227734841731,12.3653554171485,26739.452982805,17407.9503374967,-153.093913706794,0
6,16,6.54462922214436,8967.23587622706,36.2001569701916,8.33093888570034,8.49195890620438,12.7946563213168,23578.9963812255,39426.4778421076,810.620223864214,0
6,17,6.33903586165553,7459.84091807001,38.6387604343278,9.48630253328856,9.71202429600242,14.5807702546276,23419.54930502,37520.2980505161,745.484590793022,0
6,18,6.00047258434151,2991.20342242584,37.6885209020976,17.8440104913937,18.6109992194662,27.5212269426033,18393.0282839599,34444.1909549614,319.517375654383,0
