frame,id,lobeDist,intensity[photon],offset[photon],UncertaintyX,UncertaintyY,UncertaintyZ,x[nm],y[nm],z[nm],Probe
1,1,5.88216507478404,4637.83363524838,26.9852641472316,12.264352228042,12.5834291665628,18.8582464071973,23059.7257983368,25966.3756172961,-35.0083946338892,0
1,2,5.73373918639108,3257.09171095182,27.8763383700285,15.7169290714964,16.2517331433152,24.2017829535973,21337.255173919,37166.5781452665,-143.018550825701,0
2,3,5.88260686170948,5237.46945924838,26.9852641472316,11.311847269041,11.5798920051571,17.3863869726532,23052.7317727156,25966.2799176067,-11.2959939123758,0
2,4,6.36627385859614,4581.27647350385,30.0431936850003,12.5995153101444,12.9572750974134,19.3818695214144,23905.2421869642,34904.6944972132,606.4050290125,0
2,5,5.50632774265197,4088.63928895182,27.8763383700285,13.4309029590937,13.8229333241902,20.6637340816057,21332.6353237314,37176.0822643529,-144.250829443553,0
3,6,6.36079665232634,6567.78978018983,30.0436485958813,9.9156194319218,10.1289865624731,15.2344122614279,23918.5736125336,34907.1751780644,646.310818548291,0
3,7,5.86228163736435,4399.31408124838,26.9852641472316,12.7069859244953,13.0507690074609,19.5424980217791,22957.7960888401,26030.2999571541,-41.4990625830986,0
4,8,6.37249266221973,5536.00383618983,30.0436485958813,11.0957353679329,11.369523968564,17.0572199242608,23915.8920834576,34902.2760433189,666.117782834912,0
4,9,5.63117647662085,4622.31416009363,26.9209912235066,12.2869383937788,12.6068345700651,18.8930398400553,22804.6711190152,26149.2411217921,-74.4005575477602,0
5,10,6.3633966908996,4535.38468218983,30.0436485958813,12.6860013125598,13.0488148385553,19.5156271731189,23889.7154755891,34900.3242677297,667.576329425606,0
5,11,6.01290931153558,3298.97005409363,26.9209912235066,15.4696156312546,15.9798895787466,23.8165178456013,22802.832752508,26167.2929698676,-119.158965886393,0
5,12,5.6904829632453,2082.23047012441,27.1125304679143,21.5547008537189,22.4983837756625,33.2490576118232,30784.9684121198,28537.6032707263,-145.198405467955,0
6,13,6.51285273513556,5050.46269218983,30.0436485958813,11.7970523450233,12.1090774329669,18.1411120785882,23910.1919630999,34914.049651633,666.892039506398,0
6,14,6.07291717655121,4049.22511106649,26.9163611566881,13.4343459796143,13.8195100215338,20.6671114124006,22414.3885670856,24078.0248150167,16.7323207434729,0
6,15,5.79612625690427,2143.72249627066,27.0969876589736,21.0940101362696,22.0023265633636,32.5342267465532,30792.9934200003,28563.5100276422,-133.473930724081,0
7,16,6.34624069144023,5191.20883218983,30.0436485958813,11.5817443869602,11.8818538865714,17.8083031544243,23896.3548628518,34898.4356987348,662.743972988213,0
7,17,5.95840453170618,3863.30364506649,26.9163611566881,13.8718209713187,14.2829085466604,21.3438008341148,22422.6635945672,24085.4935675429,12.4587161697977,0
7,18,5.76251371359035,1991.68040371031,27.158526656924,22.2860416139392,23.2868857376707,34.3841266417101,30773.5937454072,28535.9153500806,-145.927846116848,0
8,19,6.41734027059786,5453.62659618983,30.0436485958813,11.2068741008168,11.4866101975556,17.2289552773594,23910.6391406346,34905.9517756453,655.218487477704,0
8,20,5.99645755209041,3253.31560106649,26.9163611566881,15.6201548457203,16.1400714167737,24.049571301318,22415.7389943436,24078.1134562428,-13.363532856036,0
8,21,5.45984684641979,2707.57048654993,27.7431883645906,17.898227335166,18.5799638920392,27.5806944050386,25702.8787142898,37890.0689230907,-825.605405618279,0
8,22,5.35990938471072,1614.70542375262,26.2054119107967,25.861116916749,27.1344353948966,39.9309086159478,23874.4984652951,17888.6564063761,-661.081365733186,0
