frame,id,lobeDist,intensity[photon],offset[photon],UncertaintyX,UncertaintyY,UncertaintyZ,x[nm],y[nm],z[nm],Probe
25,1,6.12309999253398,2874.15703119808,22.2265593365548,16.401048770579,16.923054462968,25.2452909725746,19317.6113542629,28526.5743274228,944.344802860906,0
26,2,6.48281956224501,3207.75519219953,22.2483950607853,15.2108214328345,15.6601714236197,23.403655671695,19293.4481444925,28487.0865943337,969.670508283488,0
27,3,8.27752163567654,3090.6328999476,22.4704745703147,15.6322072065917,16.1093318344771,24.0562302697215,20393.8007180116,29744.0182475897,-1402.85957740993,0
71,4,8.16571018290062,2049.80234051271,22.1212322860111,20.8055123519981,21.6230754683451,32.0676583591621,30922.7115548733,23779.9427727747,561.320087929046,0
72,5,10.8526963354192,2876.36808964571,22.1329526686814,16.3790429842049,16.8986038423064,25.2109380961829,29675.7845625685,23875.8418025817,-1002.56424414018,0
133,6,7.18204277093734,2631.83623411376,20.6757813540457,17.1916337325478,17.7446010015497,26.4637950830742,20475.7607881546,17823.0012145886,1080.90551228078,0
134,7,7.06652604718708,2902.27146211377,20.6757813540457,16.0704463161881,16.5541121535879,24.7287486467725,20493.6667703669,17797.857015352,1030.77100401024,0
135,8,6.94131362710591,2723.72870611377,20.6757813540457,16.788078831818,17.3157627095916,25.8391974408719,20498.3774895174,17806.9625637568,1087.62367473227,0
136,9,7.34377144288271,2982.93067411377,20.6757813540457,15.7717766864807,16.2374891549062,24.266694388945,20531.6067058042,17823.0248938559,1089.40048224096,0
137,10,6.94688344986633,3233.5175907179,20.729794604489,14.9368462739177,15.3541369449774,22.9755078664026,20639.9905399896,17938.1598760727,966.872122225102,0
227,11,6.6468681459812,2650.48604765401,22.4376915280071,17.3847117537285,17.9720839645976,26.7687737004584,20704.7036524024,28204.939932117,1033.49615142026,0
230,12,8.15475856645589,2594.3196276979,22.3110375694712,17.6275222386606,18.2292078273895,27.1443331628407,19187.7520717648,28838.7123510143,1194.59538260252,0
252,13,6.45184892260916,1464.24053426259,20.9158750399449,26.2902522074883,27.501008641986,40.5703571861565,21008.5476076935,18437.7904337854,827.128298178931,0
253,14,6.75705265805812,1684.04796693483,21.6479998060596,23.8945648510421,24.9332271915126,36.8563387450219,21637.9802801178,23667.7758612103,973.679319654478,0
411,15,7.97657938636509,2301.7800605689,21.9335780405941,19.1133353455287,19.809584407443,29.444390259942,18762.9641362571,28967.0144492128,-1483.80568425001,0
422,16,9.41776383655138,2923.77312098269,20.4544925378355,15.9576765830515,16.4319369588016,24.5535655200181,25645.5875085091,11144.8713571635,-1258.86683780314,0
470,17,6.3779507248783,1991.9204486942,21.3088339506717,21.0647447622012,21.8881751623247,32.4660241946016,20209.158885564,21732.9086889058,644.094622987324,0
471,18,5.85688732021598,2226.55372852353,21.3209991006264,19.453592659246,20.1644003065604,29.9691580601303,20204.6429340461,21736.5465629569,676.710884162508,0
472,19,6.22618250955045,2044.05127034653,21.2894922411134,20.6727163920129,21.4679540470386,31.8582641104794,20213.4511453596,21664.2990072894,737.665544955603,0
473,20,5.79091525720581,2029.85433756126,21.3100834001641,20.780904545227,21.5841341275873,32.0260460430405,20987.7330428812,21290.5286174201,748.499527352407,0
474,21,6.36673283765484,1945.47273156126,21.3100834001641,21.4268125350123,22.2762641282179,33.0273323311857,20991.9362379405,21358.6615882944,657.28971602317,0
475,22,6.46334133616633,2357.2818358273,21.3226361093412,18.6835623938301,19.3422444090215,28.7762825592747,21035.9360453296,21359.3011191184,591.183074502429,0
476,23,6.17098337249398,2770.25763248648,21.548619746162,16.7245805628624,17.258972906409,25.7438623405675,21162.0445673437,23319.0314713137,844.091142409616,0
477,24,6.11327267094966,2430.81505812448,21.6791131268607,18.3455438916453,18.9865211648461,28.2540747374758,20645.1614426473,24417.3720696918,726.206637565435,0
478,25,6.14775331696355,1592.85789087749,21.6575748661415,24.9028551750262,26.0194540105798,38.4210027593601,20589.7736385205,24384.7128238719,792.213125357898,0
479,26,6.55724929037987,1985.73565287749,21.6575748661415,21.1881346702578,22.025980956393,32.6588429963274,20605.35510268,24398.1529855124,767.363296342249,0
480,27,6.02039954577315,1874.90871188759,21.6936295847754,22.0974503550615,23.0020934171788,34.0689420390271,20598.2833421611,24473.4980261727,778.543311609715,0
481,28,5.96867111008669,2471.21860988759,21.6936295847754,18.1364223713052,18.763718668044,27.9302497661734,20618.9344012404,24549.6462920396,686.816122630789,0
482,29,6.04628124347774,2326.68399788759,21.6936295847754,18.9243860747149,19.6044397061541,29.1507456340344,20611.0407983065,24519.7329184956,696.597647743175,0
483,30,5.9476080495683,2060.10331988759,21.6936295847754,20.6415465797689,21.440851851517,31.8116804860084,20630.8823008562,24570.5066344224,713.089701091735,0
484,31,6.12575722383252,1989.37783388759,21.6936295847754,21.1679337204364,22.0048972225374,32.6276826255,20615.463328616,24555.2517008125,703.636894299428,0
485,32,6.21571044930651,2050.27972388759,21.6936295847754,20.7126531726962,21.5170163930373,31.9219014166712,20619.0041499658,24546.1941123795,733.885163950358,0
486,33,6.04968516754621,2013.49739124865,21.7151781479457,20.9891938450428,21.8136525261035,32.3506788835808,20614.864221192,24582.3939600505,736.529009243271,0
488,34,6.37102809534531,3297.37004456496,21.804798605006,14.8734793323432,15.2983283776927,22.8806094022176,21675.035472007,24990.6840039873,875.209496139463,0
499,35,7.16282803758017,2286.52204280425,20.7788663294135,18.9886013868296,19.6600107312825,29.2466448625762,18715.9932993604,18722.0328030678,1175.31281188235,0
500,36,7.45849041332582,2603.94396973212,20.7670731367333,17.3340853296851,17.8972508148679,26.6846236576737,18704.3392181297,18764.2360757375,1243.15029828171,0
557,37,6.52586848809194,1443.12115167213,21.6891217276074,26.8212285122043,28.0902691797057,41.3991004324778,28307.3784990832,20844.9522794145,907.518854462869,0
558,38,6.65303881808293,1733.84232567213,21.6891217276074,23.3976947833267,24.3993195888249,36.0856761823034,28291.7529751478,20829.2048892648,884.015006571743,0
559,39,6.52456329417659,1556.81936367213,21.6891217276074,25.3397270585014,26.4910734865113,39.0992127020295,28264.1638594657,20836.0913406386,843.456075863508,0
560,40,6.29374474763646,1688.54444635024,21.6414291516563,23.8458886155104,24.8807155958026,36.7807830396681,28293.9496735859,20820.7505705772,904.777932960913,0
561,41,6.146095990973,2154.13963391567,21.6356514802496,19.979715310863,20.7315302728021,30.7856759001559,28307.1447849726,20787.3079050813,873.35288446753,0
611,42,8.59926698960915,2485.98650263591,21.8300071850121,18.0836062704711,18.7091995635295,27.8489466003309,29736.8847164037,19161.6619787341,1236.79997605859,0
616,43,7.86489435499054,5235.08623494075,21.7374450236996,10.9477521916873,11.164659812931,16.8150266810278,29826.3311500781,18352.5394173493,-1377.03335678115,0
623,44,10.0171203622103,2932.22018917626,20.4502612363972,15.9256186995764,16.3979073162087,24.5039583212362,21071.6161634487,16930.6462559868,-1100.51985169736,0
624,45,10.922177034644,2543.02969353523,20.4046938656834,17.5612363807302,18.1340813028609,27.0349403351633,21110.7042220888,16940.6266867779,-1189.91895360512,0
685,46,6.31988816897142,3017.3817987379,21.2348103481113,15.7253531617815,16.1946398046218,24.1966289184597,25473.393016168,20682.9115737225,895.374458926144,0
687,47,6.64061323068062,2704.5753103154,21.2646523756304,16.9615676697065,17.507433481897,26.1097270919194,25494.8372963476,20681.6561724553,911.133817185308,0
693,48,7.91041226486525,1665.81908023415,20.6756067418851,23.8267565041025,24.8422432412743,36.7461637847665,18086.6340304079,21287.3540706857,1208.75255223539,0
694,49,6.4884622537607,2558.09646121068,20.6480336353729,17.5298256305466,18.1039002339314,26.987205429339,20535.5910384797,19320.5386256724,764.457027233413,0
